,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,Final_Cat_Ranking,Fin_Rank
49,20813,62.087584629070506,63,69.39412698412697,0.0,2.380952380952381,14.489239485935721,51.761053087335796,38.642431529093265,154.23609636364338,29.730058391232593,6.36975571514502,257.6609953745509,0.0,0.1998001998001998,74.28571428571429,128.85714285714286,103.30640278138425,Low,3.0
50,20814,52.92645933699052,12,61.66400000000001,0.0,0.0,10.624922508481804,38.56741564932651,43.59167105446213,138.82639146622793,28.68060583066858,7.1313852722531665,49.746031147121776,0.0,0.1998001998001998,300.0,99.0,15.864666926515717,Low,3.0
56,20989,39.955902793006565,12,56.192,0.0,0.0,16.51471979160409,40.06163140733744,66.69389269651124,38.647133416921484,20.58902643668844,15.767262803230004,30.658925305237883,0.0,0.5328005328005329,198.0,99.0,16.681149504767422,Low,3.0
58,21181,118.99085876331442,23,73.6172463768116,90.3913043478261,0.0,143.32377189467243,179.61301273495832,139.13236434080204,38.031728853860265,49.2539964690235,308.73282847397826,157.89007947091494,0.0,8.278677843895235,300.0,99.0,197.59787064297373,High,1.0
59,21183,96.468641945063,18,64.85354497354496,0.0,0.0,59.63220165376871,41.52424082440038,134.9255391890734,50.24334584150315,285.2509076341113,173.39882295001314,35.23188414038811,0.0,8.635808635808637,99.0,294.3333333333333,200.0,Medium,2.0
60,21209,49.44968135859614,17,53.67764705882353,0.0,0.0,29.215740182422913,52.67471306601091,57.878036295976024,47.48520749501466,21.801108942114872,12.091009582169109,54.588136234777316,0.0,0.1998001998001998,198.0,198.0,16.133821321832585,Low,3.0
61,21211,43.284756804024,8,31.221999999999998,0.0,0.0,10.707350224216526,18.35925376768092,81.31865971329057,27.658525890271186,18.390850444092912,19.477595638480498,29.615080869160117,0.0,0.1998001998001998,198.0,198.0,16.322235313367038,Low,3.0
63,21213,44.08330665627963,9,55.10677777777777,0.0,0.0,18.602799781739687,94.83170442323795,62.124971210831944,42.878568844798025,21.23612869368007,14.677955533438007,27.080057605569266,0.0,0.1998001998001998,198.0,110.0,16.51083577332166,Low,3.0
69,21334,50.769750749230575,19,51.193999999999996,0.0,0.0,10.826024915057332,139.2011525647001,61.42135353553093,56.44367835216185,23.254578909370654,13.737758945577188,43.71855634500542,0.0,0.1998001998001998,246.31578947368422,99.0,16.23356799757074,Low,3.0
71,21424,118.86459032610966,8,59.939583333333324,0.0,56.25,62.13479951740272,141.51011838780377,135.9040129327943,332.4777616431034,304.2733188403408,112.3402890124346,17.983780402943516,0.0,1.6983016983016987,173.625,236.25,148.58188912318656,High,1.0
72,21427,84.45633969138082,7,66.44333333333333,28.285714285714285,0.0,79.25265811652359,83.6587803348726,39.52998964873876,115.26197153266833,148.34699325972272,185.76152812905116,27.250489046895673,0.0,1.3415156272299134,198.0,99.0,194.71212205596203,Low,3.0
73,21429,101.08067045955272,11,74.44333333333333,27.0,0.0,215.4826881673694,77.5050153493567,142.40701925632655,72.40811863565195,85.62801180622772,126.17297245852045,49.42073096251973,145.45454545454547,3.2876214694396513,198.0,99.0,200.0,Medium,2.0
74,21431,100.57999874149586,19,60.76964912280701,0.0,0.0,61.693516046504875,38.50432590593989,131.36618442681714,43.2072741897661,55.14588127982536,94.55595245117443,319.66751886482126,0.0,8.19180819180819,300.0,198.0,197.59787064297373,Medium,2.0
76,21498,111.28056120540903,26,59.56833333333332,15.23076923076923,0.0,85.05249660988706,22.702263418383893,133.7038262102837,44.454438851143806,56.54622167529127,154.3498525598507,398.42131119895356,0.0,3.58103435026512,300.0,198.0,197.59787064297373,High,1.0
77,21506,109.14251608079361,31,68.16430107526881,6.387096774193548,0.0,93.99245713987557,80.19167964998165,50.34609967179724,245.8740118003152,261.11329368779565,223.35412395281148,96.38681177716083,0.0,1.166575360123747,207.96774193548387,102.19354838709677,200.0,High,1.0
82,21596,79.15623178039782,29,63.389885057471254,54.62068965517241,0.0,30.565262531911632,75.66978192796903,117.75213241694355,47.17062234921833,34.11269100002382,225.40262185294654,68.50435586279534,0.0,3.50683798959661,182.17241379310346,139.9655172413793,144.51066502743595,Low,3.0
89,21768,129.40583781113477,16,77.44333333333333,123.75,0.0,233.2287977812951,209.47932936849634,140.6851556659237,37.691510087823666,48.77603308684896,312.5009854751076,151.74374253440976,0.0,9.19080919080919,300.0,99.0,197.59787064297373,High,1.0
98,21894,42.372058404388866,6,53.331999999999994,0.0,0.0,13.075802580857248,37.942533416709296,59.99422219791196,51.76073749429458,22.639728111596327,13.757025731318526,67.64042982302293,0.0,1.8648018648018654,198.0,99.0,16.57359484532027,Low,3.0
99,21897,63.87965964945928,33,71.21,0.0,86.36363636363636,12.399945891183338,41.55077127281629,39.033403387465,149.3854768546034,30.19799746650897,6.354931710022947,168.39085628154595,0.0,0.1998001998001998,18.0,195.0,140.10807531430672,Low,3.0
103,22114,89.28310436001496,8,68.23083333333332,0.0,0.0,351.0200747921036,56.846949962790156,29.04565880381031,30.605462669538994,112.2896525683769,185.20796419093122,45.272512717849914,0.0,15.184815184815186,198.0,198.0,75.16526521489075,Medium,2.0
106,22119,96.3299738038946,13,66.99333333333333,15.23076923076923,0.0,220.93634366226726,145.88480621996365,140.09721476270204,53.35528686871071,66.26252117517141,131.45905453111098,135.36356860770377,0.0,5.732728809651888,300.0,99.0,64.63397985703475,Medium,2.0
107,22121,99.31017202442041,16,57.23083333333333,0.0,0.0,41.11136618855624,35.32300553285946,125.43495457817949,45.20913721644937,57.37569063100174,53.83844478304648,376.3334752621041,0.0,2.1978021978021984,300.0,198.0,197.59787064297373,Medium,2.0
108,22122,105.36973767696361,34,59.665392156862744,5.823529411764706,0.0,66.7760324350002,31.848046001457526,132.3934796404669,43.75016335765272,55.7556684875922,105.51972773823354,375.75322997246576,0.0,7.662925309984132,300.0,198.0,197.59787064297373,Medium,2.0
117,22551,87.85663200463712,95,44.67096842105262,14.715789473684211,0.0,76.60456018986754,67.29144009309849,101.18072228538304,11.305600322996078,11.356628409921898,162.5160707156776,160.38951197709113,149.47368421052633,41.35864135864136,188.62105263157895,256.4526315789474,31.912178401090355,Medium,2.0
119,22764,103.67838325667785,23,59.05898550724637,30.130434782608695,0.0,171.01117953620988,118.20973856489631,72.85319491796244,167.70722569026842,172.63462865729963,208.98781946632255,55.34784072187702,0.0,6.280675845893238,185.08695652173913,111.91304347826087,200.0,Medium,2.0
120,22769,89.95516352510158,38,59.090701754385954,0.0,0.0,109.74566371909671,29.78855348382843,135.97994336092123,57.52487364561643,70.63187273224112,126.0568618149663,213.71450951507677,0.0,4.669015195330985,262.42105263157896,99.0,180.70440502348083,Medium,2.0
123,22794,52.65147254595379,10,48.4778,0.0,0.0,7.463735671142419,130.22138243209037,76.5723854521971,40.236808746847544,21.665345245087877,18.56644297640687,33.28342266842277,0.0,0.1998001998001998,228.6,168.3,16.184964797311643,Low,3.0
125,22801,38.831187075663095,10,27.79,0.0,0.0,23.118606282426843,19.344100020550634,70.66124394021261,33.04770992988869,19.36590075317217,17.39349942990766,37.57804946541116,0.0,0.1998001998001998,218.4,99.0,16.568896113576407,Low,3.0
135,23021,55.11797679498108,57,54.12494736842105,0.0,0.0,12.863350148583907,118.46303823099619,55.92606662672044,63.51844032110543,23.77512233991005,12.06676509276576,143.23614342560202,0.0,1.42664353190669,199.78947368421052,125.05263157894737,16.52702957554687,Low,3.0
148,23594,51.10681107344613,23,55.46991304347826,0.0,0.0,15.510801638071749,81.86958617483944,57.434644324845344,54.644385852709526,22.858202252264277,12.666708440679448,95.64905383747691,0.0,1.1553663727576773,198.0,154.95652173913044,16.386982425438877,Low,3.0
152,23735,100.46171179213185,9,65.14703703703702,99.0,0.0,169.9743495912641,67.60324436005199,128.29992521306298,42.58803713419614,34.31530135922182,294.27294064429645,49.74607126549384,0.0,4.639804639804639,210.66666666666666,154.0,186.6722989708821,Medium,2.0
153,23739,113.31944134457616,7,58.50761904761904,0.0,0.0,106.1724370460303,20.522671369534965,135.1508991688499,45.22824025325379,57.412707275391945,183.9789169012592,395.0224562659274,0.0,2.1978021978021984,300.0,198.0,197.59787064297373,High,1.0
