OID,Field1,X,Y,Island,TMK,Uid
-1,486,-157.009703196999993,21.082135716200000,Molokai,254008004,-157.00970_21.08213
-1,487,-157.009960350999989,21.082252835999999,Molokai,254008005,-157.00996_21.08225
-1,488,-157.010218930000008,21.082366797500001,Molokai,254008006,-157.01021_21.08236
-1,489,-157.010493002999993,21.082516229100001,Molokai,254008007,-157.01049_21.08251
-1,511,-156.796069391999993,21.071580160000000,Molokai,257007055,-156.79606_21.07158
-1,514,-156.796316778999994,21.071470674699999,Molokai,257007066,-156.79631_21.07147
-1,521,-156.815705261000005,21.067729615400001,Molokai,257008009,-156.81570_21.06772
-1,522,-156.811915099000004,21.069098358300000,Molokai,257008016,-156.81191_21.06909
-1,583,-157.040160879000013,21.096161598999998,Molokai,252009002,-157.04016_21.09616
-1,584,-157.039826962999996,21.096961133400001,Molokai,252009004,-157.03982_21.09696
-1,586,-157.040355967000011,21.097073570300001,Molokai,252009006,-157.04035_21.09707
-1,587,-157.040634952000005,21.097155685600001,Molokai,252009007,-157.04063_21.09715
-1,588,-157.040931174999997,21.097259503000000,Molokai,252009008,-157.04093_21.09725
-1,590,-157.040524145000006,21.096127447499999,Molokai,252009021,-157.04052_21.09612
-1,713,-157.007086759999993,21.081557330500001,Molokai,254003009,-157.00708_21.08155
-1,742,-156.957239418000000,21.066855256699998,Molokai,254018024,-156.95723_21.06685
-1,790,-156.964258774999990,21.068937730500000,Molokai,254017011,-156.96425_21.06893
-1,792,-156.966326148999997,21.069438980800001,Molokai,254017021,-156.96632_21.06943
-1,796,-156.967842195000003,21.070054425799999,Molokai,254017028,-156.96784_21.07005
-1,798,-156.969975196000007,21.070512609100000,Molokai,254017033,-156.96997_21.07051
-1,799,-156.970430652999994,21.070569856399999,Molokai,254017035,-156.97043_21.07056
-1,800,-156.970633515000003,21.070593800299999,Molokai,254017036,-156.97063_21.07059
-1,801,-156.971064605999999,21.070621013499998,Molokai,254017038,-156.97106_21.07062
-1,803,-156.999181660000005,21.080053369600002,Molokai,254002028,-156.99918_21.08005
-1,817,-156.993406230999994,21.078035575400001,Molokai,254006004,-156.99340_21.07803
-1,824,-156.989799341000008,21.077176515500000,Molokai,254006013,-156.98979_21.07717
-1,829,-156.981195993000000,21.073354053900001,Molokai,254006019,-156.98119_21.07335
-1,856,-156.771154994000000,21.088557328499999,Molokai,257004050,-156.77115_21.08855
-1,913,-156.771273417000003,21.088116155100000,Molokai,257004060,-156.77127_21.08811
-1,920,-156.833485738000007,21.058170371500001,Molokai,256003003,-156.83348_21.05817
-1,921,-156.834281327000014,21.057435433500000,Molokai,256003006,-156.83428_21.05743
-1,930,-156.835170849000008,21.056108758000001,Molokai,256003037,-156.83517_21.05610
-1,936,-156.863853726999992,21.052371071100001,Molokai,256008001,-156.86385_21.05237
-1,942,-156.877541124000004,21.047180403799999,Molokai,256008016,-156.87754_21.04718
-1,980,-156.792218531999993,21.075811622200000,Molokai,257006003,-156.79221_21.07581
-1,990,-156.794506549000005,21.072835794600000,Molokai,257007005,-156.79450_21.07283
-1,991,-156.795190633000004,21.072711225999999,Molokai,257007010,-156.79519_21.07271
-1,992,-156.795560948999992,21.073013601100001,Molokai,257007014,-156.79556_21.07301
-1,993,-156.795823641999988,21.072037101599999,Molokai,257007015,-156.79582_21.07203
-1,994,-156.796294718000013,21.072837055000001,Molokai,257007016,-156.79629_21.07283
-1,1003,-156.825636279000008,21.061202793300001,Molokai,257010012,-156.82563_21.06120
-1,1033,-156.822519962999991,21.064461757099998,Molokai,257010002,-156.82251_21.06446
-1,1053,-156.809365906000011,21.068659121300001,Molokai,257008023,-156.80936_21.06865
-1,1109,-157.009860350999986,21.082252835999999,Molokai,254008005,-157.00986_21.08225
-1,1149,-156.794406549000001,21.072835794600000,Molokai,257007005,-156.79440_21.07283
-1,1150,-156.796194718000010,21.072837055000001,Molokai,257007016,-156.79619_21.07283
