X,Y,objectid,island,tmk,bldgval,bldexem,pittcode,homeownr,gisacres,osds_qty,class_i,class_ii,class_iii,class_iv,effluent,n_flux,p_flux,commercial,source,no_struct,ttl_bdrms,no_bath,prmt_no,prmt_id,uic_no,inject,wwtp,class,type,ownr_typ,wwtp_ownr,contact,eng,op_drc,comments
-157.224963555517,21.1759383266161,22,Molokai,251006002,160600,160600,500,Y,5.1859008,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.225436140174,21.1750767948188,23,Molokai,251006003,501800,300000,500,Y,5.87879208,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,2,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.22835917641,21.1729621646188,24,Molokai,251006007,235300,235300,500,Y,5.00482334,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,2,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.229152796302,21.1723374957873,25,Molokai,251006008,426900,300000,500,Y,5.0048237,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,1,3,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.229928109831,21.1716520201748,26,Molokai,251006009,823200,0,500,N,5.203958,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,3,5,7,-9999,-9999, , , ,-9999, , , , , , , 
-157.238563213484,21.1718608665955,27,Molokai,251006017,0,0,500,N,6.50041429,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,0,3,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.240691926208,21.1731657621191,28,Molokai,251006021,161000,0,500,N,5.58734554,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.238790393632,21.1742431842403,29,Molokai,251006023,429100,0,500,N,5.49215979,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.239883774917,21.1755107096591,30,Molokai,251006024,482000,0,500,N,5.91077979,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.243879638166,21.1733310046726,31,Molokai,251006032,334600,0,500,N,5.49303215,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.245244269905,21.1728677174418,32,Molokai,251006033,483500,0,500,N,5.37152321,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.247669259778,21.1724964885451,33,Molokai,251006036,0,0,500,N,20.11577007,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.250787333188,21.1687959113429,34,Molokai,251006039,742000,300000,500,Y,21.35338967,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,1,5,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.247864295161,21.1652837821755,35,Molokai,251006047,0,0,500,N,20.89182576,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.258231996578,21.1665349242468,36,Molokai,251006062,140000,0,500,N,5.95158446,3,3,0,0,0,1800,0.006813,0.013626, ,IWS & CP Database,1,9,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.25752575188,21.167094460308,37,Molokai,251006063,566200,300000,500,Y,6.3418528,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.256819500961,21.1676539939092,38,Molokai,251006064,1663300,0,500,N,5.95158646,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,2,4,6,-9999,-9999, , , ,-9999, , , , , , , 
-157.255346599228,21.1687120666585,39,Molokai,251006066,0,0,500,N,5.85677089,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.253804217462,21.1708398552951,40,Molokai,251006069,434800,300000,500,Y,5.95158526,2,2,0,0,0,1000,0.003785,0.00757, ,IWS Database,2,5,5,-9999,-9999, , , ,-9999, , , , , , , 
-157.252250991705,21.1728943346703,41,Molokai,251006072,809200,0,500,N,5.95361441,2,0,0,0,2,2000,0.457985,0.124905, ,DWELDAT Database,2,10,7,-9999,-9999, , , ,-9999, , , , , , , 
-157.25157901589,21.1738647658726,42,Molokai,251006073,25600,25600,600,N,10.38876234,1,1,0,0,0,300,0.0011355,0.002271,small park,IWS Database,0,0,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.250139434858,21.1750287137666,43,Molokai,251006075,32800,0,500,N,3.75010402,2,0,0,0,2,200,0.0457985,0.0124905, ,DWELDAT Database,2,1,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.241715625925,21.1784591882833,44,Molokai,251006084,568900,300000,500,Y,5.58759157,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.239413416066,21.1785803263935,45,Molokai,251006088,374700,117700,500,Y,5.03649924,2,2,0,0,0,1000,0.003785,0.00757, ,IWS Database,2,5,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.241439011932,21.1800318983446,46,Molokai,251006090,271100,271100,500,Y,5.16284376,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.240068998598,21.1809358955566,47,Molokai,251006092,495900,0,500,N,5.28224699,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.238830362768,21.1800046915563,48,Molokai,251006093,239600,0,500,N,5.32036513,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,1,5,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.237847007435,21.1792758092406,49,Molokai,251006094,409400,300000,500,Y,5.29729388,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.237294367481,21.1784564068566,50,Molokai,251006095,259800,0,500,N,5.08399101,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.236100323668,21.1735351721206,51,Molokai,251006101,330700,0,500,N,5.04139053,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.234983555574,21.1735501171321,52,Molokai,251006102,247600,0,500,N,6.3515294,1,1,0,0,0,200,0.000757,0.001514, ,IWS Database,1,1,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.235356914153,21.1750106250351,53,Molokai,251006103,0,0,500,N,5.06989911,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,0,3,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.23554819866,21.1759456031156,54,Molokai,251006104,144600,144600,500,Y,5.23096601,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.235490500893,21.1779591489201,55,Molokai,251006106,433800,300000,500,Y,5.00257591,2,2,0,0,0,1000,0.003785,0.00757, ,IWS Database,2,5,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.235488468536,21.1789077329561,56,Molokai,251006107,250900,250900,500,Y,5.11008491,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.236506679969,21.1801745367863,57,Molokai,251006109,287200,0,500,N,5.15878104,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.237424495444,21.1808820359578,58,Molokai,251006110,237000,237000,500,Y,5.27093825,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.239352291177,21.1820018304132,59,Molokai,251006112,417900,300000,500,Y,5.30271791,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.241697895832,21.182370219187,60,Molokai,251006114,613600,300000,500,Y,5.50575215,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.24015768445,21.1830710674418,61,Molokai,251006115,1347500,0,500,N,5.73254509,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.238672236547,21.1840922131946,62,Molokai,251006119,236800,0,500,N,5.48541053,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,1,5,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.237150324592,21.1829510267009,63,Molokai,251006121,220200,220200,500,Y,5.0060308,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.234688378462,21.1812537974214,64,Molokai,251006124,311100,300000,500,Y,5.10695058,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.233567717937,21.1811974162696,65,Molokai,251006125,0,0,500,N,5.24382314,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,0,5,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.232332601461,21.1814976851462,66,Molokai,251006126,285700,285700,500,Y,5.49183264,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.231156944411,21.1818746221471,67,Molokai,251006127,206300,0,500,N,5.29125915,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,1,5,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.227300721679,21.1758363206476,68,Molokai,251006137,426600,300000,500,Y,7.4402213,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.229047985311,21.1745376311407,69,Molokai,251006138,93100,0,500,N,7.76738641,3,3,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.230618406687,21.175283339714,70,Molokai,251006139,442900,0,500,N,4.14168449,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,2,2,5,-9999,-9999, , , ,-9999, , , , , , , 
-157.231216512617,21.1758281018293,71,Molokai,251006140,355600,0,500,N,8.5836611,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.231358802595,21.1767996424353,72,Molokai,251006141,0,0,500,N,6.74663698,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,0,3,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.230723270009,21.1785679754707,73,Molokai,251006143,599600,0,500,N,6.68247893,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.231812383151,21.1798703973109,74,Molokai,251006145,291800,291800,500,Y,8.25171029,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.233388702227,21.1796258321075,75,Molokai,251006146,0,0,500,N,7.06379169,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,0,5,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.233356086904,21.178393542042,76,Molokai,251006147,456400,300000,500,Y,5.13814627,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,2,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.233479433295,21.1775491040807,77,Molokai,251006148,234800,234800,500,Y,5.10763194,1,0,0,0,1,600,0.1373955,0.0374715, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.233464402599,21.1757343043275,78,Molokai,251006150,282700,282700,500,Y,5.11251796,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.233253538198,21.1739114315461,79,Molokai,251006152,296200,0,500,N,5.36380567,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,2,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.229812936771,21.1751919128841,80,Molokai,251006158,1037400,0,500,N,4.03392963,2,2,0,0,0,1400,0.005299,0.010598, ,IWS Database,2,7,6,-9999,-9999, , , ,-9999, , , , , , , 
-157.253052654596,21.1593054629819,81,Molokai,251007002,139900,139900,500,Y,25.70151095,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,2,2,7,-9999,-9999, , , ,-9999, , , , , , , 
-157.256252803612,21.1549193001034,82,Molokai,251007006,202600,0,500,N,21.64868224,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.259595439553,21.155484074878,83,Molokai,251007013,0,0,500,N,34.29044805,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,2,3,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.263818385005,21.1541889237411,84,Molokai,251007015,407000,0,500,N,22.11656363,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.274298899668,21.1530098924341,85,Molokai,251007023,281900,281900,500,Y,5.72473364,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.276330479989,21.1562204725132,86,Molokai,251007028,1658800,300000,500,Y,5.34038742,2,2,0,0,0,1000,0.003785,0.00757, ,IWS Database,1,5,5,-9999,-9999, , , ,-9999, , , , , , , 
-157.275268980692,21.1566757839949,87,Molokai,251007029,235100,0,500,N,5.64718628,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.273182088012,21.1571528681535,88,Molokai,251007031,989800,300000,500,Y,5.42778846,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.272198017262,21.1572697144553,89,Molokai,251007032,435500,0,500,N,5.28778969,1,0,0,0,1,900,0.20609325,0.05620725,small business,Cesspool Database,1,0,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.271178394042,21.1574442411726,90,Molokai,251007033,0,0,500,N,6.78428943,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,0,3,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.270090217386,21.157567128618,91,Molokai,251007034,914400,0,500,N,6.15194479,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.270355120421,21.1550030906598,92,Molokai,251007036,0,0,500,N,6.58698869,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.271589890409,21.1551015444597,93,Molokai,251007037,824600,300000,500,Y,5.2777035,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,2,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.270723794006,21.15326620157,94,Molokai,251007041,722400,0,500,N,5.15268324,2,0,0,0,2,900,0.20609325,0.05620725,small business,Cesspool Database,1,0,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.268891959481,21.1534833865912,95,Molokai,251007043,0,0,500,N,5.99126382,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,0,4,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.267738866748,21.1580108663945,96,Molokai,251007048,1206200,300000,500,Y,10.33342635,2,2,0,0,0,1200,0.004542,0.009084, ,IWS Database,2,6,9,-9999,-9999, , , ,-9999, , , , , , , 
-157.264890710789,21.1572716033407,97,Molokai,251007050,577700,0,500,N,5.75837582,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,2,5,5,-9999,-9999, , , ,-9999, , , , , , , 
-157.266121318846,21.1587467448863,98,Molokai,251007052,425600,0,500,N,5.16805359,2,2,0,0,0,1400,0.005299,0.010598, ,IWS Database,1,7,6,-9999,-9999, , , ,-9999, , , , , , , 
-157.267578822781,21.1593916822846,99,Molokai,251007053,391700,300000,500,Y,5.98959964,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.266601420339,21.1599402956276,100,Molokai,251007054,1190400,0,500,N,6.38314228,2,0,0,0,2,600,0.1373955,0.0374715, ,DWELDAT Database,2,3,5,-9999,-9999, , , ,-9999, , , , , , , 
-157.266194384575,21.1608691040815,101,Molokai,251007055,1210400,0,500,N,6.16850551,3,3,0,0,0,1400,0.005299,0.010598, ,IWS Database,2,7,6,-9999,-9999, , , ,-9999, , , , , , , 
-157.265100845385,21.1613481764232,102,Molokai,251007056,0,0,500,N,6.52909657,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,0,5,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.262852922223,21.1625514475727,103,Molokai,251007062,472400,0,500,N,7.25328789,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.261752941188,21.1638178951974,104,Molokai,251007064,1569300,300000,500,Y,6.02235773,1,0,0,0,1,800,0.183194,0.049962, ,IWS Database,1,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.261040017472,21.1643473680321,105,Molokai,251007065,442600,0,500,N,6.07628877,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.260305988351,21.1648914786863,106,Molokai,251007066,190400,0,500,N,6.349475,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.258915815195,21.1659931482918,107,Molokai,251007068,1691500,0,500,N,5.95158425,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,2,4,6,-9999,-9999, , , ,-9999, , , , , , , 
-156.987504314242,21.0782952406583,108,Molokai,254011050,64900,64900,100,Y,0.15785779,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.987265878782,21.0782011879342,109,Molokai,254011051,66700,0,100,N,0.16656862,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.986420836631,21.07790737853,110,Molokai,254011052,200200,141300,100,Y,0.23152588,2,0,0,0,2,1000,0.2289925,0.0624525, ,DWELDAT Database,2,5,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.986971982425,21.0778221845544,111,Molokai,254011053,128300,128300,100,Y,0.20399552,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.987278311937,21.0774575377682,112,Molokai,254011054,164400,164400,100,Y,0.24550831,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.988240588595,21.0772161678119,113,Molokai,254011055,68200,0,100,N,0.13455674,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.988062306035,21.0771394418428,114,Molokai,254011056,68200,0,100,N,0.13835554,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.987998758978,21.0773681303691,115,Molokai,254011057,225600,0,100,N,0.15224468,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-156.988139422445,21.0774643797195,116,Molokai,254011058,59800,59800,100,Y,0.13580628,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.987958464138,21.07793238562,117,Molokai,254011059,75200,75200,100,Y,0.13632654,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.987817459802,21.0778345596912,118,Molokai,254011060,75500,75500,100,Y,0.1445826,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.999671770853,21.086181758059,119,Molokai,254012001,293900,0,100,N,0.20671115,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-156.999860829821,21.0858880467985,120,Molokai,254012002,677400,300000,100,Y,0.21080009,1,1,0,0,0,800,0.003028,0.006056, ,IWS Database,1,4,4,-9999,-9999, , , ,-9999, , , , , , , 
-157.000025042322,21.0856340046753,121,Molokai,254012003,77400,77400,100,Y,0.19863599,1,0,0,0,1,1000,0.2289925,0.0624525, ,DWELDAT Database,1,5,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.000172663715,21.0854029215799,122,Molokai,254012004,89400,0,100,N,0.2020806,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.000308938026,21.0851901043286,123,Molokai,254012005,91000,0,100,N,0.18844181,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.000433999312,21.0849950352285,124,Molokai,254012006,98400,98400,100,Y,0.19000802,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.000666052487,21.0846323804604,125,Molokai,254012008,55900,0,100,N,0.19431022,1,1,0,0,0,1000,0.003785,0.00757, ,IWS Database,2,5,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.000781073895,21.0844548717681,126,Molokai,254012009,100400,0,100,N,0.20235933,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.000893935821,21.0842820943941,127,Molokai,254012010,71000,71000,100,Y,0.20061038,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.996281107579,21.0848480678829,128,Molokai,254010047,94100,94100,100,Y,0.31738738,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-156.996121742283,21.0850806287303,129,Molokai,254010048,111600,111600,100,Y,0.31340108,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-156.995805518576,21.0855485701903,130,Molokai,254010050,158600,158600,100,Y,0.31074516,1,0,0,0,1,800,0.183194,0.049962, ,DWELDAT Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
