,Grid_ID,Flikr_X,Flikr_Y,Flikr_ID,Island,Flikr_ID_statewide
521,129_198,-156.955416469,21.066153209,flk_1830,Maui,flk_1830_Maui
522,129_221,-156.943422487,21.0637505105,flk_1823,Maui,flk_1823_Maui
523,129_261,-156.859348411,21.0559380215,flk_1791,Maui,flk_1791_Maui
524,129_313,-156.801404546,21.071001249,flk_1861,Maui,flk_1861_Maui
525,130_169,-156.98178047,21.0732422559,flk_1859,Maui,flk_1859_Maui
526,130_180,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
527,130_188,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
528,130_192,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
529,130_193,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
530,130_198,-156.955416469,21.066153209,flk_1830,Maui,flk_1830_Maui
531,130_216,-156.945827447,21.0637796283,flk_1822,Maui,flk_1822_Maui
532,130_219,-156.945827447,21.0637796283,flk_1822,Maui,flk_1822_Maui
533,130_221,-156.943422487,21.0637505105,flk_1823,Maui,flk_1823_Maui
534,130_313,-156.801404546,21.071001249,flk_1861,Maui,flk_1861_Maui
535,131_169,-156.98178047,21.0732422559,flk_1859,Maui,flk_1859_Maui
536,131_188,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
537,131_215,-156.945827447,21.0637796283,flk_1822,Maui,flk_1822_Maui
538,131_224,-156.943422487,21.0637505105,flk_1823,Maui,flk_1823_Maui
539,131_310,-156.808685283,21.066580097,flk_1845,Maui,flk_1845_Maui
540,131_312,-156.801404546,21.071001249,flk_1861,Maui,flk_1861_Maui
541,131_313,-156.801404546,21.071001249,flk_1861,Maui,flk_1861_Maui
542,132_170,-156.98178047,21.0732422559,flk_1859,Maui,flk_1859_Maui
543, ,-156.979375304,21.073213635,flk_1860,Maui,flk_1860_Maui
544, ,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
545, ,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
546,132_214,-156.948232411,21.0638087121,flk_1821,Maui,flk_1821_Maui
547, ,-156.943422487,21.0637505105,flk_1823,Maui,flk_1823_Maui
