,TMK,EFFLUENT,X,Y,Uid,Grid_ID,Flikr_X,Flikr_Y,Flikr_ID
17,252032008,0.0,-157.033007675,21.1005801343,-157.03300_21.10058,112_106,-157.034427882,21.0941812922,flk_2022
18,252032031,0.0,-157.034771647,21.1033405525,-157.03477_21.10334,111_104,-157.039209412,21.0964945503,flk_2039
19,252032034,0.0,-157.033734937,21.1037571008,-157.03373_21.10375,111_105,-157.039209412,21.0964945503,flk_2039
20,252032044,0.0,-157.03427013,21.1009743571,-157.03427_21.10097,112_104,-157.039209412,21.0964945503,flk_2039
21,252032045,0.0,-157.034554412,21.1006395159,-157.03455_21.10063,112_104,-157.039209412,21.0964945503,flk_2039
22,252033005,0.0,-157.03694111,21.1024827223,-157.03694_21.10248,111_103,-157.039209412,21.0964945503,flk_2039
23,252033007,0.0,-157.037450927,21.1032093103,-157.03745_21.10320,111_102,-157.039209412,21.0964945503,flk_2039
24,252033026,0.0,-157.037214887,21.0990723488,-157.03721_21.09907,113_102,-157.039209412,21.0964945503,flk_2039
25,252033034,0.0,-157.038486473,21.1002059113,-157.03848_21.10020,112_102,-157.039209412,21.0964945503,flk_2039
26,252033050,0.0,-157.040778828,21.1000242409,-157.04077_21.10002,112_100,-157.041615041,21.0965223527,flk_2038
27,253007001,0.0,-157.016822693,21.0851426277,-157.01682_21.08514,119_133,0.0,0.0,flk_1917
28,253007011,0.0,-157.015018509,21.0850695414,-157.01501_21.08506,119_135,-157.01530333,21.0849270212,flk_1918
29,254004088,0.0,-156.9984956,21.0864382135,-156.99849_21.08643,118_152,-157.000931371,21.0802425282,flk_1885
30,254006060,0.0,-156.987861123,21.076596747,-156.98786_21.07659,126_165,-156.98656041,21.0755568864,flk_1869
31,254007016,0.0,-157.011026601,21.083538701,-157.01102_21.08353,120_139,-157.010522585,21.082613144,flk_1897
32,254009025,0.0,-157.000713517,21.0826698009,-157.00071_21.08266,121_148,-157.003336682,21.0802708527,flk_1884
33,254012026,0.0,-157.0026518,21.0818876312,-157.00265_21.08188,121_146,-157.003336682,21.0802708527,flk_1884
34,254012032,0.0,-157.002791273,21.0826127746,-157.00279_21.08261,121_146,-157.003336682,21.0802708527,flk_1884
35,254013014,0.0,-156.955605181,21.0668430514,-156.95560_21.06684, ,0.0,0.0,flk_1830
36,254013018,0.0,-156.954472731,21.0674513943,-156.95447_21.06745,149_198,-156.955416469,21.066153209,flk_1830
37,254014027,0.0,-156.941424001,21.0717665643,-156.94142_21.07176,136_222,-156.943422487,21.0637505105,flk_1823
38,254014056,0.0,-156.934575136,21.0705678331,-156.93457_21.07056,140_231,-156.936238777,21.06140553,flk_1812
39,254015014,0.0,-156.961436177,21.0745205532,-156.96143_21.07452,129_192,-156.962600776,21.0684974193,flk_1842
40,254015019,0.0,-156.959189291,21.0763128158,-156.95918_21.07631,126_194,-156.962600776,21.0684974193,flk_1842
41,254015028,0.0,-156.958771343,21.0744101969,-156.95877_21.07441,129_194,-156.960195715,21.0684685328,flk_1843
42,254016014,0.0,-156.9690112,21.0796334564,-156.96901_21.07963,123_184,-156.972190448,21.0708700967,flk_1852
43,254016025,0.0,-156.96718027,21.0718705358,-156.96718_21.07187,137_187,-156.967380224,21.0708125553,flk_1854
44,254016031,0.0,-156.966225082,21.0752996465,-156.96622_21.07529,128_188,-156.967380224,21.0708125553,flk_1854
45,254017001,0.0,-156.961633701,21.0681360645,-156.96163_21.06813, ,0.0,0.0,flk_1842
46,254017015,0.0,-156.965131299,21.0689968611,-156.96513_21.06899, ,0.0,0.0,flk_1841
47,254017018,0.0,-156.965862474,21.0691686101,-156.96586_21.06916, ,0.0,0.0,flk_1841
48,254017029,0.0,-156.968010795,21.0702131005,-156.96801_21.07021,142_185,0.0,0.0,flk_1854
49,254017030,0.0,-156.968857916,21.0704090927,-156.96885_21.07040,141_184,-156.969785334,21.070841343,flk_1853
50,254017031,0.0,-156.969337097,21.070498931,-156.96933_21.07049,141_183,-156.969785334,21.070841343,flk_1853
51,256001032,0.0,-156.832236115,21.0606874094,-156.83223_21.06068, ,0.0,0.0,flk_1816
52,256004021,0.0,-156.8404646,21.058696512,-156.84046_21.05869,158_272,-156.840110929,21.0556944164,flk_1797
53,256006027,0.0,-156.84418689,21.0650537117,-156.84418_21.06505,151_270,-156.840110929,21.0556944164,flk_1797
54,257001060,0.0,-156.759440134,21.0969679296,-156.75944_21.09696, ,0.0,0.0,flk_2084
55,257006002,0.0,-156.792437347,21.0756838808,-156.79243_21.07568, ,0.0,0.0,flk_1872
56,257009002,0.0,-156.820134872,21.0659393131,-156.82013_21.06593, ,0.0,0.0,flk_1834
57,257010076,0.0,-156.825310313,21.0621117882,-156.82531_21.06211, ,0.0,0.0,flk_1825
58,258002071,0.0,-156.743320321,21.1112666349,-156.74332_21.11126, ,0.0,0.0,flk_2111
59,251002036,900.0,-157.131945515,21.144227322,-157.13194_21.14422,88_68,-157.123380335,21.0997050237,flk_2044
60,251002044,400.0,-157.257805957,21.1479159589,-157.25780_21.14791,84_24,-157.274273366,21.160019067,flk_2179
61,251003011,19400.0,-157.246135832,21.1902878931,-157.24613_21.19028,20_28,-157.249831896,21.1913810915,flk_2413
62,251004006,600.0,-157.20504469,21.1563758456,-157.20504_21.15637,64_42,-157.254832339,21.1756262289,flk_2294
63,251004008,900.0,-157.208562065,21.1570360599,-157.20856_21.15703,63_41,-157.254832339,21.1756262289,flk_2294
64,251004020,600.0,-157.219229951,21.1773825601,-157.21922_21.17738,37_37,-157.249885072,21.186865486,flk_2377
65,251004023,900.0,-157.210939878,21.1725311087,-157.21093_21.17253,42_40,-157.249885072,21.186865486,flk_2377
66,251004027,900.0,-157.208142182,21.166625641,-157.20814_21.16662,52_41,-157.249885072,21.186865486,flk_2377
67,251005001,600.0,-157.24633015,21.1831919436,-157.24633_21.18319,27_28,-157.249885072,21.186865486,flk_2377
68,251005003,600.0,-157.245873819,21.1831720788,-157.24587_21.18317,27_28,-157.249885072,21.186865486,flk_2377
69,251005005,800.0,-157.245437168,21.1831273723,-157.24543_21.18312,27_28,-157.249885072,21.186865486,flk_2377
70,251005012,800.0,-157.243896021,21.1832124341,-157.24389_21.18321,27_29,-157.249885072,21.186865486,flk_2377
71,251005016,1000.0,-157.243012908,21.1832299351,-157.24301_21.18322,27_29,-157.249885072,21.186865486,flk_2377
72,251006002,400.0,-157.224965678,21.1759302852,-157.22496_21.17593,38_35,-157.249885072,21.186865486,flk_2377
73,251006003,800.0,-157.225438269,21.1750687491,-157.22543_21.17506,39_35,-157.249885072,21.186865486,flk_2377
74,251006007,600.0,-157.228361333,21.1729541042,-157.22836_21.17295,42_34,-157.252345536,21.1823747877,flk_2353
75,251006008,600.0,-157.22915496,21.172329431,-157.22915_21.17232,42_34,-157.252345536,21.1823747877,flk_2353
76,251006009,1000.0,-157.229930281,21.171643951,-157.22993_21.17164,43_34,-157.252345536,21.1823747877,flk_2353
77,251006021,800.0,-157.240694148,21.1731576717,-157.24069_21.17315,42_30,-157.252398611,21.1778591713,flk_2311
78,251006023,600.0,-157.2387926,21.1742351025,-157.23879_21.17423,40_30,-157.252372075,21.1801169798,flk_2327
79,251006024,800.0,-157.239885982,21.1755026288,-157.23988_21.17550,39_30,-157.252372075,21.1801169798,flk_2327
80,251006032,800.0,-157.243881877,21.1733229066,-157.24388_21.17332,41_29,-157.252398611,21.1778591713,flk_2311
81,251006033,800.0,-157.245246518,21.172859615,-157.24524_21.17285,42_28,-157.252398611,21.1778591713,flk_2311
82,251006036,400.0,-157.247671522,21.1724883793,-157.24767_21.17248,42_27,-157.254832339,21.1756262289,flk_2294
83,251006039,1000.0,-157.250789645,21.1687877814,-157.25078_21.16878,49_26,-157.257265995,21.1733932459,flk_2267
84,251006047,600.0,-157.24786659,21.1652756502,-157.24786_21.16527,54_27,-157.259699578,21.1711602222,flk_2250
85,251006062,1800.0,-157.258234514,21.166526752,-157.25823_21.16652,53_24,-157.262133087,21.1689271578,flk_2223
86,251006063,600.0,-157.257528248,21.1670862932,-157.25752_21.16708,52_24,-157.259699578,21.1711602222,flk_2250
87,251006064,800.0,-157.256821977,21.1676458319,-157.25682_21.16764,51_24,-157.259699578,21.1711602222,flk_2250
88,251006069,1000.0,-157.2538066,21.1708317172,-157.25380_21.17083,45_25,-157.257265995,21.1733932459,flk_2267
89,251006072,2000.0,-157.252253325,21.1728862093,-157.25225_21.17288,42_26,-157.254832339,21.1756262289,flk_2294
90,251006075,200.0,-157.250141702,21.1750206055,-157.25014_21.17502,40_27,-157.252398611,21.1778591713,flk_2311
91,251006084,600.0,-157.241717828,21.1784511119,-157.24171_21.17845,35_29,-157.252345536,21.1823747877,flk_2353
92,251006088,1000.0,-157.239415605,21.1785722569,-157.23941_21.17857,35_30,-157.252345536,21.1823747877,flk_2353
93,251006090,400.0,-157.241441205,21.1800238281,-157.24144_21.18002,33_30,-157.249885072,21.186865486,flk_2377
94,251006092,600.0,-157.240071181,21.1809278322,-157.24007_21.18092,31_30,-157.249885072,21.186865486,flk_2377
95,251006093,1000.0,-157.238832542,21.1799966281,-157.23883_21.17999,33_30,-157.249885072,21.186865486,flk_2377
96,251006094,400.0,-157.237849185,21.1792677458,-157.23784_21.17926,34_31,-157.249885072,21.186865486,flk_2377
97,251006095,600.0,-157.237296545,21.1784483425,-157.23729_21.17844,35_31,-157.249885072,21.186865486,flk_2377
98,251006101,600.0,-157.236102519,21.1735270946,-157.23610_21.17352,41_31,-157.252372075,21.1801169798,flk_2327
99,251006102,200.0,-157.234985745,21.1735420422,-157.23498_21.17354,41_32,-157.252372075,21.1801169798,flk_2327
100,251006104,800.0,-157.235550379,21.1759375343,-157.23555_21.17593,38_32,-157.252345536,21.1823747877,flk_2353
101,251006106,1000.0,-157.235492671,21.1779510871,-157.23549_21.17795,36_32,-157.249885072,21.186865486,flk_2377
102,251006107,400.0,-157.235490634,21.1788996746,-157.23549_21.17889,35_32,-157.249885072,21.186865486,flk_2377
103,251006109,400.0,-157.236508845,21.1801664802,-157.23650_21.18016,32_31,-157.249885072,21.186865486,flk_2377
104,251006110,400.0,-157.237426662,21.1808739795,-157.23742_21.18087,31_31,-157.249885072,21.186865486,flk_2377
105,251006112,600.0,-157.239354464,21.1819937723,-157.23935_21.18199,29_30,-157.249885072,21.186865486,flk_2377
106,251006114,600.0,-157.24170008,21.1823621559,-157.24170_21.18236,28_29,-157.249885072,21.186865486,flk_2377
107,251006115,400.0,-157.240159857,21.1830630102,-157.24015_21.18306,27_30,-157.249885072,21.186865486,flk_2377
108,251006119,1000.0,-157.238674395,21.1840841638,-157.23867_21.18408,26_30,-157.249885072,21.186865486,flk_2377
109,251006121,400.0,-157.237152481,21.1829429772,-157.23715_21.18294,27_31,-157.249885072,21.186865486,flk_2377
110,251006124,400.0,-157.234690528,21.1812457486,-157.23469_21.18124,30_32,-157.249885072,21.186865486,flk_2377
111,251006126,800.0,-157.232334737,21.1814896441,-157.23233_21.18148,30_33,-157.249885072,21.186865486,flk_2377
112,251006127,1000.0,-157.231159071,21.1818665854,-157.23115_21.18186,29_33,-157.249885072,21.186865486,flk_2377
113,251006137,800.0,-157.227302857,21.1758282724,-157.22730_21.17582,38_34,-157.249885072,21.186865486,flk_2377
114,251006138,800.0,-157.229050137,21.1745295742,-157.22905_21.17452,40_34,-157.252345536,21.1823747877,flk_2353
115,251006139,400.0,-157.230620563,21.1752752811,-157.23062_21.17527,39_33,-157.252345536,21.1823747877,flk_2353
116,251006140,400.0,-157.23121867,21.1758200441,-157.23121_21.17582,39_33,-157.252345536,21.1823747877,flk_2353
117,251006141,600.0,-157.231360956,21.1767915874,-157.23136_21.17679,37_33,-157.249885072,21.186865486,flk_2377
118,251006143,800.0,-157.230725411,21.1785599282,-157.23072_21.17855,35_33,-157.249885072,21.186865486,flk_2377
119,251006145,400.0,-157.231814524,21.1798623519,-157.23181_21.17986,33_33,-157.249885072,21.186865486,flk_2377
120,251006147,400.0,-157.233358243,21.1783854871,-157.23335_21.17838,35_32,-157.249885072,21.186865486,flk_2377
121,251006148,600.0,-157.233481594,21.1775410465,-157.23348_21.17754,37_32,-157.249911654,21.1846076823,flk_2367
122,251006150,600.0,-157.233466572,21.1757262406,-157.23346_21.17572,39_32,-157.252345536,21.1823747877,flk_2353
123,251006152,800.0,-157.233255716,21.1739033617,-157.23325_21.17390,41_32,-157.252372075,21.1801169798,flk_2327
124,251006158,1400.0,-157.22981509,21.175183856,-157.22981_21.17518,39_34,-157.249885072,21.186865486,flk_2377
125,251007002,400.0,-157.253055067,21.1592972942,-157.25305_21.15929,61_26,-157.262133087,21.1689271578,flk_2223
126,251007006,400.0,-157.256255317,21.154911104,-157.25625_21.15491,66_24,-157.266999888,21.1644609072,flk_2186
127,251007013,600.0,-157.259598037,21.1554758645,-157.25959_21.15547,66_23,-157.269433179,21.162227721,flk_2183
128,251007015,400.0,-157.263821098,21.1541806905,-157.26382_21.15418,68_22,-157.269433179,21.162227721,flk_2183
129,251007023,800.0,-157.274301889,21.1530016096,-157.27430_21.15300,70_18,-157.279113417,21.157810264,flk_2175
130,251007028,1000.0,-157.276333511,21.1562121883,-157.27633_21.15621,65_17,-157.279113417,21.157810264,flk_2175
131,251007029,400.0,-157.275271982,21.1566675057,-157.27527_21.15666,64_18,-157.276706478,21.1577857625,flk_2176
132,251007031,600.0,-157.273185033,21.1571446008,-157.27318_21.15714,64_19,-157.274273366,21.160019067,flk_2179
133,251007032,900.0,-157.272200937,21.1572614522,-157.27220_21.15726,64_19,-157.274273366,21.160019067,flk_2179
134,251007034,400.0,-157.270093081,21.1575588765,-157.27009_21.15755,63_20,-157.271866397,21.1599944942,flk_2180
135,251007036,400.0,-157.270358,21.1549948307,-157.27035_21.15499,66_20,-157.274273366,21.160019067,flk_2179
136,251007037,800.0,-157.271592802,21.1550932795,-157.27159_21.15509,66_19,-157.274273366,21.160019067,flk_2179
137,251007041,900.0,-157.27072669,21.1532579356,-157.27072_21.15325,69_19,-157.279113417,21.157810264,flk_2175
138,251007043,800.0,-157.268894807,21.153475129,-157.26889_21.15347,69_20,-157.274273366,21.160019067,flk_2179
139,251007048,1200.0,-157.267741667,21.158002626,-157.26774_21.15800,63_20,-157.271866397,21.1599944942,flk_2180
140,251007050,1000.0,-157.26489344,21.1572633747,-157.26489_21.15726,64_21,-157.269433179,21.162227721,flk_2183
141,251007052,1400.0,-157.266124074,21.1587385147,-157.26612_21.15873,62_21,-157.269433179,21.162227721,flk_2183
142,251007053,400.0,-157.267581614,21.1593834472,-157.26758_21.15938,61_21,-157.269433179,21.162227721,flk_2183
143,251007054,600.0,-157.266604184,21.1599320664,-157.26660_21.15993,61_21,-157.269433179,21.162227721,flk_2183
144,251007055,1400.0,-157.266197133,21.1608608792,-157.26619_21.16086,60_21,-157.269433179,21.162227721,flk_2183
145,251007062,800.0,-157.262855578,21.162543243,-157.26285_21.16254,58_22,-157.266999888,21.1644609072,flk_2186
146,251007064,800.0,-157.261755562,21.1638096991,-157.26175_21.16380,56_23,-157.264566524,21.1666940528,flk_2199
147,251007065,800.0,-157.261042618,21.1643391771,-157.26104_21.16433,56_23,-157.264566524,21.1666940528,flk_2199
148,251007066,600.0,-157.260308568,21.164883292,-157.26030_21.16488,55_23,-157.262133087,21.1689271578,flk_2223
149,251007068,800.0,-157.258918353,21.1659849718,-157.25891_21.16598,54_24,-157.262133087,21.1689271578,flk_2223
150,254011050,600.0,-156.987506446,21.078286925,-156.98750_21.07828,124_165,-156.988965624,21.0755854086,flk_1868
151,254011051,600.0,-156.987268011,21.0781928714,-156.98726_21.07819,125_165,-156.98656041,21.0755568864,flk_1869
152,254011052,1000.0,-156.98642297,21.0778990592,-156.98642_21.07789,125_166,-156.98656041,21.0755568864,flk_1869
153,254011053,600.0,-156.986974119,21.0778138653,-156.98697_21.07781,125_165,-156.98656041,21.0755568864,flk_1869
154,254011054,600.0,-156.987280454,21.0774492151,-156.98728_21.07744,125_165,-156.98656041,21.0755568864,flk_1869
155,254011055,600.0,-156.988242736,21.0772078444,-156.98824_21.07720,126_164,0.0,0.0,flk_1868
156,254011056,600.0,-156.988064454,21.0771311175,-156.98806_21.07713,126_164,0.0,0.0,flk_1868
157,254011057,600.0,-156.988000904,21.0773598078,-156.98800_21.07735,125_164,-156.988965624,21.0755854086,flk_1868
158,254011058,600.0,-156.988141566,21.077456058,-156.98814_21.07745,125_164,-156.988965624,21.0755854086,flk_1868
159,254011059,600.0,-156.987960601,21.0779240674,-156.98796_21.07792,125_164,-156.988965624,21.0755854086,flk_1868
160,254011060,600.0,-156.987819598,21.0778262406,-156.98781_21.07782,125_165,-156.98656041,21.0755568864,flk_1869
161,254012001,800.0,-156.999673832,21.086173518,-156.99967_21.08617,118_150,-157.003336682,21.0802708527,flk_1884
162,254012002,800.0,-156.999862895,21.085879805,-156.99986_21.08587,118_149,-157.003336682,21.0802708527,flk_1884
163,254012003,1000.0,-157.000027112,21.0856257602,-157.00002_21.08562,119_149,-157.003336682,21.0802708527,flk_1884
164,254012004,600.0,-157.000174736,21.0853946754,-157.00017_21.08539,119_149,-157.003336682,21.0802708527,flk_1884
165,254012005,400.0,-157.000311013,21.0851818564,-157.00031_21.08518,119_149,-157.003336682,21.0802708527,flk_1884
166,254012006,600.0,-157.000436078,21.0849867855,-157.00043_21.08498,119_149,-157.003336682,21.0802708527,flk_1884
167,254012008,1000.0,-157.000668137,21.0846241273,-157.00066_21.08462,119_148,-157.003336682,21.0802708527,flk_1884
168,254012009,600.0,-157.00078316,21.0844466168,-157.00078_21.08444,119_148,-157.003336682,21.0802708527,flk_1884
169,254012010,600.0,-157.000896025,21.0842738386,-157.00089_21.08427,119_148,-157.003336682,21.0802708527,flk_1884
170,254010047,600.0,-156.996283177,21.0848398141,-156.99628_21.08483,119_156,-156.998526064,21.0802141696,flk_1886
171,254010048,600.0,-156.996123809,21.0850723767,-156.99612_21.08507,119_156,-156.998526064,21.0802141696,flk_1886
172,254010050,800.0,-156.995807577,21.0855403217,-156.99580_21.08554,119_157,-156.998526064,21.0802141696,flk_1886
173,254010051,600.0,-156.99564846,21.0857748564,-156.99564_21.08577,118_157,-156.998526064,21.0802141696,flk_1886
174,254010053,600.0,-156.995299194,21.0862196325,-156.99529_21.08621,118_157,-156.998526064,21.0802141696,flk_1886
175,254010054,600.0,-156.995880281,21.0863072593,-156.99588_21.08630,118_156,-156.998526064,21.0802141696,flk_1886
176,254010056,600.0,-156.999127166,21.081643459,-156.99912_21.08164,121_151,-156.998526064,21.0802141696,flk_1886
177,254011001,600.0,-156.986759105,21.0770620022,-156.98675_21.07706,126_165,-156.98656041,21.0755568864,flk_1869
178,254011002,800.0,-156.987001597,21.0772159195,-156.98700_21.07721,126_165,-156.98656041,21.0755568864,flk_1869
179,254011003,600.0,-156.987381763,21.0770795421,-156.98738_21.07707,126_165,-156.98656041,21.0755568864,flk_1869
180,254011004,800.0,-156.98753878,21.0773131504,-156.98753_21.07731,126_165,-156.98656041,21.0755568864,flk_1869
181,254011005,600.0,-156.987739172,21.0773995083,-156.98773_21.07739,125_165,-156.98656041,21.0755568864,flk_1869
182,254011009,600.0,-156.988551043,21.0773468225,-156.98855_21.07734,125_164,-156.988965624,21.0755854086,flk_1868
183,254011010,600.0,-156.988689052,21.0775381173,-156.98868_21.07753,125_164,-156.988965624,21.0755854086,flk_1868
184,254011011,600.0,-156.988815307,21.0778686697,-156.98881_21.07786,125_164,-156.988965624,21.0755854086,flk_1868
185,252002024,600.0,-157.102748848,21.1653244087,-157.10274_21.16532,52_78,-157.110148605,21.194392285,flk_2440
186,252002025,1000.0,-157.104582365,21.1657183604,-157.10458_21.16571,52_77,-157.112555915,21.1944191997,flk_2439
187,252002031,600.0,-157.099027473,21.1644743365,-157.09902_21.16447,53_79,-157.110148605,21.194392285,flk_2440
188,252002058,600.0,-157.104045444,21.1464587085,-157.10404_21.14645,83_77,-157.111322835,21.1018291017,flk_2065
189,252004009,600.0,-157.070054225,21.1489309327,-157.07005_21.14893,75_89,-157.104105408,21.1017485387,flk_2068
190,252004010,800.0,-157.071649842,21.1498180976,-157.07164_21.14981,72_89,-157.106511213,21.1017754271,flk_2067
191,252017021,600.0,-157.058350643,21.1750547692,-157.05835_21.17505,37_93,-157.064498654,21.1871016988,flk_2397
192,252017023,600.0,-157.058946769,21.1762961812,-157.05894_21.17629,36_93,-157.064498654,21.1871016988,flk_2397
193,252017024,600.0,-157.059350829,21.175277901,-157.05935_21.17527,37_93,-157.064498654,21.1871016988,flk_2397
194,252017025,800.0,-157.059278126,21.175756612,-157.05927_21.17575,36_93,-157.064498654,21.1871016988,flk_2397
195,254011012,600.0,-156.989014681,21.0779571645,-156.98901_21.07795,125_164,-156.988965624,21.0755854086,flk_1868
196,254011013,600.0,-156.988765712,21.0785699932,-156.98876_21.07856,124_164,-156.991340506,21.0778713934,flk_1878
197,254011014,600.0,-156.98854563,21.0785632631,-156.98854_21.07856,124_164,-156.991340506,21.0778713934,flk_1878
198,254004003,400.0,-156.997136981,21.0857884709,-156.99713_21.08578,118_154,-156.998526064,21.0802141696,flk_1886
199,254004005,600.0,-156.997276066,21.0852688555,-156.99727_21.08526,119_154,-156.998526064,21.0802141696,flk_1886
200,254004006,600.0,-156.997387603,21.0847653817,-156.99738_21.08476,119_154,-156.998526064,21.0802141696,flk_1886
201,254004008,400.0,-156.997750829,21.0842126057,-156.99775_21.08421,120_153,-156.998526064,21.0802141696,flk_1886
202,254004009,600.0,-156.998017463,21.0840008134,-156.99801_21.08400,120_153,-156.998526064,21.0802141696,flk_1886
203,254004010,600.0,-156.998198052,21.0837156652,-156.99819_21.08371,120_152,-156.998526064,21.0802141696,flk_1886
204,252004087,800.0,-157.074456469,21.1467189265,-157.07445_21.14671,82_88,-157.099265063,21.1039522952,flk_2087
205,252004105,600.0,-157.081502551,21.1558988675,-157.08150_21.15589,63_85,-157.110148605,21.194392285,flk_2440
206,252004124,800.0,-157.083498515,21.1544647145,-157.08349_21.15446,65_85,-157.114934583,21.1967037116,flk_2466
207,252005014,600.0,-157.115489188,21.1797584875,-157.11548_21.17975,31_73,-157.114934583,21.1967037116,flk_2466
208,252005042,800.0,-157.113536197,21.1803070282,-157.11353_21.18030,29_74,-157.114934583,21.1967037116,flk_2466
209,252006057,600.0,-157.082033542,21.1842466353,-157.08203_21.18424,23_85,-157.081319484,21.1895514604,flk_2415
210,252006058,600.0,-157.083591488,21.1845811314,-157.08359_21.18458,23_84,-157.083697561,21.1918363715,flk_2432
211,252006059,800.0,-157.085432419,21.1810442246,-157.08543_21.18104,28_84,-157.086104793,21.1918636599,flk_2431
212,252007068,200.0,-157.065449614,21.1589220401,-157.06544_21.15892,59_91,-157.098112111,21.1942571978,flk_2445
213,254013010,400.0,-156.954893588,21.0666291332,-156.95489_21.06662,150_198,0.0,0.0,flk_1830
214,254013011,1000.0,-156.955082892,21.0666486772,-156.95508_21.06664,150_198,0.0,0.0,flk_1830
215,254013012,600.0,-156.955312557,21.0666643802,-156.95531_21.06666, ,0.0,0.0,flk_1830
216,254013014,600.0,-156.955733792,21.0666780399,-156.95573_21.06667, ,0.0,0.0,flk_1830
217,254013015,400.0,-156.955922554,21.0666887149,-156.95592_21.06668, ,0.0,0.0,flk_1830
218,254013017,600.0,-156.95629995,21.0666927661,-156.95629_21.06669, ,0.0,0.0,flk_1830
219,254013018,1000.0,-156.954620979,21.0673321532,-156.95462_21.06733,149_198,-156.955416469,21.066153209,flk_1830
220,254013022,600.0,-156.952654957,21.0669199527,-156.95265_21.06691,150_200,-156.953011456,21.0661242238,flk_1831
221,254013023,600.0,-156.953645807,21.066466495,-156.95364_21.06646,150_199,-156.953011456,21.0661242238,flk_1831
222,251008023,600.0,-157.274921181,21.1448068864,-157.27492_21.14480,90_18,-157.284005376,21.1510856057,flk_2165
223,251008024,600.0,-157.27384249,21.1456565835,-157.27384_21.14565,89_18,-157.284005376,21.1510856057,flk_2165
224,251008034,600.0,-157.287638861,21.1401555516,-157.28763_21.14015,95_14,-157.291329515,21.1421272197,flk_2150
225,251008035,900.0,-157.287564805,21.1413597217,-157.28756_21.14135,94_14,-157.291329515,21.1421272197,flk_2150
226,251008036,600.0,-157.287938524,21.1423333594,-157.28793_21.14233,93_14,-157.291303618,21.1443850842,flk_2154
227,251008038,400.0,-157.287395381,21.1440850781,-157.28739_21.14408,91_14,-157.291303618,21.1443850842,flk_2154
228,251008045,600.0,-157.282402508,21.1491563352,-157.28240_21.14915,81_15,-157.284005376,21.1510856057,flk_2165
229,251008051,1600.0,-157.27841973,21.1527958528,-157.27841_21.15279,70_17,-157.281546423,21.1555768819,flk_2172
230,252004011,600.0,-157.074437175,21.1502743075,-157.07443_21.15027,71_88,-157.108917022,21.1018022815,flk_2066
231,252007009,1200.0,-157.063739848,21.1645463616,-157.06373_21.16454,53_91,-157.088512029,21.191890914,flk_2430
232,252008129,1000.0,-157.051419125,21.1059111647,-157.05141_21.10591,110_96,-157.053613814,21.0989184301,flk_2058
233,252008038,800.0,-157.051853902,21.106276441,-157.05185_21.10627,110_96,-157.053613814,21.0989184301,flk_2058
234,252022010,600.0,-157.072616924,21.1690680825,-157.07261_21.16906,45_88,-157.083697561,21.1918363715,flk_2432
235,252022011,800.0,-157.073234229,21.1732977743,-157.07323_21.17329,39_88,-157.076505112,21.1894967189,flk_2417
236,252022012,800.0,-157.074800477,21.1736379589,-157.07480_21.17363,39_88,-157.076505112,21.1894967189,flk_2417
237,252022013,1400.0,-157.0763772,21.1739703296,-157.07637_21.17397,39_87,-157.078912296,21.1895241068,flk_2416
238,252022014,1400.0,-157.078032145,21.1737486554,-157.07803_21.17374,39_86,-157.083697561,21.1918363715,flk_2432
