,X,Y,Island,TMK,Uid
34,-156.988242736,21.0772078444,Molokai,254011055,-156.98824_21.07720
35,-156.988064454,21.0771311175,Molokai,254011056,-156.98806_21.07713
36,-156.988141566,21.077456058,Molokai,254011058,-156.98814_21.07745
37,-156.987960601,21.0779240674,Molokai,254011059,-156.98796_21.07792
38,-156.987819598,21.0778262406,Molokai,254011060,-156.98781_21.07782
39,-157.000027112,21.0856257602,Molokai,254012003,-157.00002_21.08562
40,-157.000174736,21.0853946754,Molokai,254012004,-157.00017_21.08539
41,-157.000311013,21.0851818564,Molokai,254012005,-157.00031_21.08518
42,-157.000436078,21.0849867855,Molokai,254012006,-157.00043_21.08498
43,-157.00078316,21.0844466168,Molokai,254012009,-157.00078_21.08444
44,-157.000896025,21.0842738386,Molokai,254012010,-157.00089_21.08427
45,-156.996283177,21.0848398141,Molokai,254010047,-156.99628_21.08483
46,-156.996123809,21.0850723767,Molokai,254010048,-156.99612_21.08507
47,-156.995807577,21.0855403217,Molokai,254010050,-156.99580_21.08554
48,-156.995880281,21.0863072593,Molokai,254010054,-156.99588_21.08630
49,-156.987381763,21.0770795421,Molokai,254011003,-156.98738_21.07707
50,-156.987739172,21.0773995083,Molokai,254011005,-156.98773_21.07739
51,-156.988551043,21.0773468225,Molokai,254011009,-156.98855_21.07734
52,-156.988689052,21.0775381173,Molokai,254011010,-156.98868_21.07753
53,-156.988815307,21.0778686697,Molokai,254011011,-156.98881_21.07786
54,-157.104582365,21.1657183604,Molokai,252002025,-157.10458_21.16571
55,-157.099027473,21.1644743365,Molokai,252002031,-157.09902_21.16447
56,-157.104045444,21.1464587085,Molokai,252002058,-157.10404_21.14645
57,-157.070054225,21.1489309327,Molokai,252004009,-157.07005_21.14893
58,-157.071649842,21.1498180976,Molokai,252004010,-157.07164_21.14981
59,-157.058350643,21.1750547692,Molokai,252017021,-157.05835_21.17505
60,-157.058946769,21.1762961812,Molokai,252017023,-157.05894_21.17629
61,-157.059350829,21.175277901,Molokai,252017024,-157.05935_21.17527
62,-157.059278126,21.175756612,Molokai,252017025,-157.05927_21.17575
63,-156.989014681,21.0779571645,Molokai,254011012,-156.98901_21.07795
64,-156.988765712,21.0785699932,Molokai,254011013,-156.98876_21.07856
65,-156.98854563,21.0785632631,Molokai,254011014,-156.98854_21.07856
66,-156.997276066,21.0852688555,Molokai,254004005,-156.99727_21.08526
67,-156.997387603,21.0847653817,Molokai,254004006,-156.99738_21.08476
68,-156.997750829,21.0842126057,Molokai,254004008,-156.99775_21.08421
69,-156.998017463,21.0840008134,Molokai,254004009,-156.99801_21.08400
70,-156.998198052,21.0837156652,Molokai,254004010,-156.99819_21.08371
71,-157.081502551,21.1558988675,Molokai,252004105,-157.08150_21.15589
72,-157.083498515,21.1544647145,Molokai,252004124,-157.08349_21.15446
73,-157.115489188,21.1797584875,Molokai,252005014,-157.11548_21.17975
74,-157.113536197,21.1803070282,Molokai,252005042,-157.11353_21.18030
75,-157.082033542,21.1842466353,Molokai,252006057,-157.08203_21.18424
76,-157.083591488,21.1845811314,Molokai,252006058,-157.08359_21.18458
77,-157.085432419,21.1810442246,Molokai,252006059,-157.08543_21.18104
78,-157.065449614,21.1589220401,Molokai,252007068,-157.06544_21.15892
79,-156.954893588,21.0666291332,Molokai,254013010,-156.95489_21.06662
80,-156.955082892,21.0666486772,Molokai,254013011,-156.95508_21.06664
81,-156.955312557,21.0666643802,Molokai,254013012,-156.95531_21.06666
82,-156.955922554,21.0666887149,Molokai,254013015,-156.95592_21.06668
83,-156.95629995,21.0666927661,Molokai,254013017,-156.95629_21.06669
84,-156.954620979,21.0673321532,Molokai,254013018,-156.95462_21.06733
85,-156.952654957,21.0669199527,Molokai,254013022,-156.95265_21.06691
86,-156.953645807,21.066466495,Molokai,254013023,-156.95364_21.06646
87,-157.287564805,21.1413597217,Molokai,251008035,-157.28756_21.14135
88,-157.074437175,21.1502743075,Molokai,252004011,-157.07443_21.15027
89,-157.063739848,21.1645463616,Molokai,252007009,-157.06373_21.16454
90,-157.072616924,21.1690680825,Molokai,252022010,-157.07261_21.16906
91,-157.073234229,21.1732977743,Molokai,252022011,-157.07323_21.17329
92,-157.074800477,21.1736379589,Molokai,252022012,-157.07480_21.17363
93,-157.0763772,21.1739703296,Molokai,252022013,-157.07637_21.17397
94,-157.078032145,21.1737486554,Molokai,252022014,-157.07803_21.17374
95,-157.079485295,21.174524825,Molokai,252022015,-157.07948_21.17452
96,-157.080998775,21.1749086466,Molokai,252022016,-157.08099_21.17490
97,-157.082468276,21.1753490917,Molokai,252022017,-157.08246_21.17534
98,-157.068686093,21.1716436492,Molokai,252022022,-157.06868_21.17164
99,-157.069224463,21.1694530131,Molokai,252022024,-157.06922_21.16945
100,-157.077472672,21.1775263299,Molokai,252022026,-157.07747_21.17752
101,-157.070092227,21.1670884979,Molokai,252023004,-157.07009_21.16708
102,-157.070352411,21.1647583136,Molokai,252023006,-157.07035_21.16475
103,-157.070582737,21.1638115524,Molokai,252023007,-157.07058_21.16381
104,-157.071341997,21.1606954011,Molokai,252023009,-157.07134_21.16069
105,-157.071030568,21.1595334833,Molokai,252023010,-157.07103_21.15953
106,-157.071403177,21.1596095024,Molokai,252023011,-157.07140_21.15960
107,-157.071783258,21.1596904847,Molokai,252023012,-157.07178_21.15969
108,-157.072162992,21.1597695656,Molokai,252023013,-157.07216_21.15976
109,-157.072183402,21.1638792239,Molokai,252023014,-157.07218_21.16387
110,-157.073750976,21.1642089856,Molokai,252023015,-157.07375_21.16420
111,-157.076460258,21.1649054652,Molokai,252023018,-157.07646_21.16490
112,-157.075937068,21.1687726136,Molokai,252023020,-157.07593_21.16877
113,-157.079413703,21.161320967,Molokai,252023022,-157.07941_21.16132
114,-157.080037349,21.1655545998,Molokai,252023023,-157.08003_21.16555
115,-157.082523476,21.1621744561,Molokai,252023024,-157.08252_21.16217
116,-157.080668205,21.1697845987,Molokai,252023027,-157.08066_21.16978
117,-157.083187067,21.1662264014,Molokai,252023028,-157.08318_21.16622
118,-156.869992609,21.0508127535,Molokai,256009018,-156.86999_21.05081
119,-156.870961608,21.0507421609,Molokai,256010001,-156.87096_21.05074
120,-157.001004836,21.0841070392,Molokai,254012011,-157.00100_21.08410
121,-157.001109198,21.0839465996,Molokai,254012012,-157.00110_21.08394
122,-157.001309595,21.0836403515,Molokai,254012014,-157.00130_21.08364
123,-157.001507984,21.0833327554,Molokai,254012016,-157.00150_21.08333
124,-157.001607278,21.0831784621,Molokai,254012017,-157.00160_21.08317
125,-157.001707872,21.0830257393,Molokai,254012018,-157.00170_21.08302
126,-157.001808891,21.0828721951,Molokai,254012019,-157.00180_21.08287
127,-157.002109281,21.0824122548,Molokai,254012022,-157.00210_21.08241
128,-157.002208741,21.0822582809,Molokai,254012023,-157.00220_21.08225
129,-157.002272222,21.0818921903,Molokai,254012024,-157.00227_21.08189
130,-157.003185115,21.081743146,Molokai,254012028,-157.00318_21.08174
131,-157.003411894,21.0818559566,Molokai,254012029,-157.00341_21.08185
132,-157.003094019,21.0822413757,Molokai,254012030,-157.00309_21.08224
133,-157.095569959,21.1466725278,Molokai,252001011,-157.09556_21.14667
134,-157.127550515,21.1436476215,Molokai,252001031,-157.12755_21.14364
135,-157.116190655,21.1521235698,Molokai,252002008,-157.11619_21.15212
136,-157.097117349,21.1640642179,Molokai,252002021,-157.09711_21.16406
137,-157.100895982,21.1649270927,Molokai,252002023,-157.10089_21.16492
138,-157.075939066,21.1507961087,Molokai,252004012,-157.07593_21.15079
139,-157.078275125,21.1514856459,Molokai,252004013,-157.07827_21.15148
140,-157.067018216,21.1577154099,Molokai,252004019,-157.06701_21.15771
141,-157.068614912,21.1579758156,Molokai,252004020,-157.06861_21.15797
142,-157.072008008,21.1506626309,Molokai,252004021,-157.07200_21.15066
143,-157.071942094,21.1585162769,Molokai,252004022,-157.07194_21.15851
144,-157.073601082,21.1588881428,Molokai,252004023,-157.07360_21.15888
145,-157.075278769,21.1592330148,Molokai,252004024,-157.07527_21.15923
146,-157.078674242,21.1524934085,Molokai,252004025,-157.07867_21.15249
147,-157.083414002,21.1577867549,Molokai,252004027,-157.08341_21.15778
148,-157.080809764,21.1585557199,Molokai,252004028,-157.08080_21.15855
149,-157.081638043,21.1603030401,Molokai,252004029,-157.08163_21.16030
150,-157.082613293,21.1608799685,Molokai,252004036,-157.08261_21.16087
151,-157.090872442,21.1628113728,Molokai,252004042,-157.09087_21.16281
152,-157.093018229,21.1632298578,Molokai,252004043,-157.09301_21.16322
153,-157.096741139,21.1579485639,Molokai,252004044,-157.09674_21.15794
154,-157.084168272,21.1612803251,Molokai,252004054,-157.08416_21.16128
155,-157.089338571,21.1600652637,Molokai,252004055,-157.08933_21.16006
156,-157.095752645,21.157786279,Molokai,252004056,-157.09575_21.15778
157,-157.08719415,21.1585584481,Molokai,252004057,-157.08719_21.15855
158,-157.080863289,21.1594279356,Molokai,252004059,-157.08086_21.15942
159,-157.081813591,21.1537643134,Molokai,252004079,-157.08181_21.15376
160,-157.081843049,21.1549692974,Molokai,252004080,-157.08184_21.15496
161,-156.952576432,21.067071298,Molokai,254013024,-156.95257_21.06707
162,-156.952498912,21.0672245782,Molokai,254013025,-156.95249_21.06722
163,-156.952425664,21.0673829077,Molokai,254013026,-156.95242_21.06738
164,-156.952329247,21.0675333426,Molokai,254013027,-156.95232_21.06753
165,-156.95223271,21.067768212,Molokai,254013029,-156.95223_21.06776
166,-156.951931,21.0678055276,Molokai,254013030,-156.95193_21.06780
167,-156.951665224,21.0678270137,Molokai,254013031,-156.95166_21.06782
168,-156.951616746,21.0676503669,Molokai,254013032,-156.95161_21.06765
169,-156.951865319,21.0673885653,Molokai,254013034,-156.95186_21.06738
170,-156.952049602,21.0672289882,Molokai,254013035,-156.95204_21.06722
171,-156.951805964,21.0672170967,Molokai,254013036,-156.95180_21.06721
172,-156.951558118,21.0672764062,Molokai,254013037,-156.95155_21.06727
173,-156.951561204,21.0670760234,Molokai,254013038,-156.95156_21.06707
174,-156.95165104,21.0668144196,Molokai,254013039,-156.95165_21.06681
175,-156.951860116,21.0667738579,Molokai,254013040,-156.95186_21.06677
176,-156.952072391,21.0668469317,Molokai,254013041,-156.95207_21.06684
177,-156.952259768,21.06609142,Molokai,254013043,-156.95225_21.06609
178,-156.952078792,21.0660150268,Molokai,254013044,-156.95207_21.06601
179,-156.953620571,21.0673702819,Molokai,254013048,-156.95362_21.06737
180,-156.945866006,21.0713405471,Molokai,254014002,-156.94586_21.07134
181,-156.939755122,21.0717305595,Molokai,254014037,-156.93975_21.07173
182,-156.761974614,21.0967938711,Molokai,257001005,-156.76197_21.09679
183,-156.762876653,21.0974721333,Molokai,257001009,-156.76287_21.09747
184,-156.763632127,21.0984861862,Molokai,257001011,-156.76363_21.09848
185,-157.007417065,21.1612764598,Molokai,252016066,-157.00741_21.16127
186,-157.007691129,21.1611982061,Molokai,252016073,-157.00769_21.16119
187,-157.058916075,21.1751726242,Molokai,252017001,-157.05891_21.17517
188,-157.061796356,21.1789376262,Molokai,252017004,-157.06179_21.17893
189,-157.063266579,21.1802248204,Molokai,252017005,-157.06326_21.18022
190,-157.064831534,21.1805942245,Molokai,252017006,-157.06483_21.18059
191,-157.059411218,21.1763133173,Molokai,252017026,-157.05941_21.17631
192,-157.059859231,21.1773198249,Molokai,252017029,-157.05985_21.17731
193,-157.060764562,21.1776528636,Molokai,252017032,-157.06076_21.17765
194,-157.060909034,21.1768858353,Molokai,252017034,-157.06090_21.17688
195,-157.061070139,21.1764877772,Molokai,252017035,-157.06107_21.17648
196,-157.060310007,21.176369959,Molokai,252017037,-157.06031_21.17636
197,-157.059919803,21.1754701028,Molokai,252017039,-157.05991_21.17547
198,-157.006974722,21.162155167,Molokai,252020011,-157.00697_21.16215
199,-157.006874801,21.1618640181,Molokai,252020012,-157.00687_21.16186
200,-157.006698746,21.161958312,Molokai,252020013,-157.00669_21.16195
201,-157.006534057,21.1620439791,Molokai,252020014,-157.00653_21.16204
202,-157.006761967,21.1622862252,Molokai,252020015,-157.00676_21.16228
203,-157.006759795,21.1625659962,Molokai,252020016,-157.00675_21.16256
204,-157.006076895,21.1623126506,Molokai,252020020,-157.00607_21.16231
205,-157.005548697,21.1621847235,Molokai,252020023,-157.00554_21.16218
206,-157.005563695,21.1619865085,Molokai,252020024,-157.00556_21.16198
207,-157.005796198,21.1619118149,Molokai,252020025,-157.00579_21.16191
208,-157.005972775,21.1618125085,Molokai,252020026,-157.00597_21.16181
209,-156.97902929,21.0726430449,Molokai,254006021,-156.97902_21.07264
210,-156.978568792,21.0724489979,Molokai,254006022,-156.97856_21.07244
211,-156.977795338,21.072083138,Molokai,254006023,-156.97779_21.07208
212,-156.977434842,21.0718964806,Molokai,254006024,-156.97743_21.07189
213,-156.989233434,21.0768809196,Molokai,254006028,-156.98923_21.07688
214,-156.988884203,21.0768613984,Molokai,254006033,-156.98888_21.07686
215,-157.062104659,21.1646383223,Molokai,252007008,-157.06210_21.16463
216,-157.065198078,21.1651439997,Molokai,252007010,-157.06519_21.16514
217,-157.066564107,21.1664761205,Molokai,252007011,-157.06656_21.16647
218,-157.068823722,21.1636952971,Molokai,252007012,-157.06882_21.16369
219,-157.046130394,21.162452757,Molokai,252007013,-157.04613_21.16245
220,-157.061216842,21.1747965825,Molokai,252007020,-157.06121_21.17479
221,-157.063468542,21.1720112694,Molokai,252007021,-157.06346_21.17201
222,-157.064727358,21.173971073,Molokai,252007022,-157.06472_21.17397
223,-157.065861414,21.1758820617,Molokai,252007023,-157.06586_21.17588
224,-157.043286306,21.1644823846,Molokai,252007028,-157.04328_21.16448
225,-157.004063707,21.1616026188,Molokai,252018001,-157.00406_21.16160
226,-157.003111258,21.1616989029,Molokai,252018004,-157.00311_21.16169
227,-157.003338376,21.1619867207,Molokai,252018005,-157.00333_21.16198
228,-157.003686409,21.162390611,Molokai,252018008,-157.00368_21.16239
229,-157.003880619,21.1622941351,Molokai,252018009,-157.00388_21.16229
230,-157.004250982,21.1621026791,Molokai,252018011,-157.00425_21.16210
231,-157.00443839,21.1620105232,Molokai,252018012,-157.00443_21.16201
232,-157.006312582,21.1616275315,Molokai,252020028,-157.00631_21.16162
233,-157.006478592,21.1615383804,Molokai,252020029,-157.00647_21.16153
234,-157.005204706,21.1621423878,Molokai,252020031,-157.00520_21.16214
235,-157.005292866,21.1623033593,Molokai,252020032,-157.00529_21.16230
236,-157.005472038,21.1626145567,Molokai,252020034,-157.00547_21.16261
237,-157.005561954,21.1627709924,Molokai,252020035,-157.00556_21.16277
238,-156.998141923,21.0829550926,Molokai,254010011,-156.99814_21.08295
239,-157.004600805,21.1618659602,Molokai,252018014,-157.00460_21.16186
240,-157.004882398,21.1625493394,Molokai,252018015,-157.00488_21.16254
241,-157.004084069,21.1627830457,Molokai,252018017,-157.00408_21.16278
242,-157.00419477,21.163034501,Molokai,252018018,-157.00419_21.16303
243,-157.003769616,21.1634048035,Molokai,252018019,-157.00376_21.16340
244,-157.004341803,21.1637556798,Molokai,252018022,-157.00434_21.16375
245,-157.004164362,21.163442867,Molokai,252018023,-157.00416_21.16344
246,-157.004830483,21.1635399255,Molokai,252018025,-157.00483_21.16353
247,-157.004764932,21.1633376517,Molokai,252018026,-157.00476_21.16333
248,-157.004693907,21.1631665376,Molokai,252018027,-157.00469_21.16316
249,-157.00555404,21.1635585772,Molokai,252018029,-157.00555_21.16355
250,-157.005670385,21.163765354,Molokai,252018030,-157.00567_21.16376
251,-157.005786763,21.1639693143,Molokai,252018031,-157.00578_21.16396
252,-157.005564271,21.1640170721,Molokai,252018032,-157.00556_21.16401
253,-157.005385946,21.1637028483,Molokai,252018033,-157.00538_21.16370
254,-157.00522989,21.1637814006,Molokai,252018034,-157.00522_21.16378
255,-157.005407697,21.1640947885,Molokai,252018035,-157.00540_21.16409
256,-157.004919079,21.1639365387,Molokai,252018038,-157.00491_21.16393
257,-157.005096179,21.1642499925,Molokai,252018039,-157.00509_21.16424
258,-157.004819773,21.1641843428,Molokai,252018040,-157.00481_21.16418
259,-157.004145261,21.1642736689,Molokai,252018042,-157.00414_21.16427
260,-157.004353264,21.1645400011,Molokai,252018043,-157.00435_21.16454
261,-157.004599424,21.1648106162,Molokai,252018044,-157.00459_21.16481
262,-157.004899927,21.1647979143,Molokai,252018045,-157.00489_21.16479
263,-157.00547608,21.1646451394,Molokai,252018047,-157.00547_21.16464
264,-157.005928042,21.1646285077,Molokai,252018048,-157.00592_21.16462
265,-157.005754015,21.164382195,Molokai,252018049,-157.00575_21.16438
266,-157.006037417,21.1642622907,Molokai,252018050,-157.00603_21.16426
267,-157.006162381,21.1645431821,Molokai,252018051,-157.00616_21.16454
268,-157.00505123,21.1629222054,Molokai,252018055,-157.00505_21.16292
269,-157.054143498,21.171996956,Molokai,252007091,-157.05414_21.17199
270,-157.06280074,21.1671329738,Molokai,252007094,-157.06280_21.16713
271,-157.063088466,21.1672204933,Molokai,252007095,-157.06308_21.16722
272,-157.063386441,21.1672773166,Molokai,252007096,-157.06338_21.16727
273,-157.063674263,21.1673512455,Molokai,252007097,-157.06367_21.16735
274,-157.05438666,21.1722481196,Molokai,252007100,-157.05438_21.17224
275,-157.054624463,21.17249457,Molokai,252007101,-157.05462_21.17249
276,-157.054891856,21.1727353951,Molokai,252007102,-157.05489_21.17273
277,-157.055137918,21.1729952886,Molokai,252007103,-157.05513_21.17299
278,-157.030237114,21.0929675745,Molokai,252008002,-157.03023_21.09296
279,-157.033056093,21.094585838,Molokai,252008004,-157.03305_21.09458
280,-157.033873121,21.0949623568,Molokai,252008005,-157.03387_21.09496
281,-157.077216678,21.1832123433,Molokai,252021010,-157.07721_21.18321
282,-157.078774604,21.183546884,Molokai,252021011,-157.07877_21.18354
283,-157.074789861,21.1796862377,Molokai,252021013,-157.07478_21.17968
284,-157.067621102,21.1759953056,Molokai,252022001,-157.06762_21.17599
285,-157.070086466,21.1726294048,Molokai,252022002,-157.07008_21.17262
286,-157.071293478,21.1727334224,Molokai,252022003,-157.07129_21.17273
