,Uid,Elevation_m
240,-157.00488_21.16254,461.321991
241,-157.00408_21.16278,470.8590088
242,-157.00419_21.16303,467.1749878
243,-157.00376_21.16340,471.8399963
244,-157.00434_21.16375,467.0140076
245,-157.00416_21.16344,469.071991
246,-157.00483_21.16353,459.2009888
247,-157.00476_21.16333,459.0859985
248,-157.00469_21.16316,459.118988
249,-157.00555_21.16355,453.6719971
250,-157.00567_21.16376,451.9150085
251,-157.00578_21.16396,451.9320068
252,-157.00556_21.16401,454.9410095
253,-157.00538_21.16370,455.4639893
254,-157.00522_21.16378,456.6090088
255,-157.00540_21.16409,456.2420044
256,-157.00491_21.16393,460.3519897
257,-157.00509_21.16424,459.6369934
258,-157.00481_21.16418,462.1919861
259,-157.00414_21.16427,468.0740051
260,-157.00435_21.16454,464.3330078
261,-157.00459_21.16481,461.4249878
262,-157.00489_21.16479,459.506012
263,-157.00547_21.16464,453.8479919
264,-157.00592_21.16462,451.54599
265,-157.00575_21.16438,453.2139893
266,-157.00603_21.16426,452.321991
267,-157.00616_21.16454,451.0020142
268,-157.00505_21.16292,457.3529968
269,-157.05414_21.17199,252.7149963
270,-157.06280_21.16713,207.0
271,-157.06308_21.16722,206.7969971
272,-157.06338_21.16727,206.0
273,-157.06367_21.16735,206.0090027
274,-157.05438_21.17224,252.2420044
275,-157.05462_21.17249,252.0169983
276,-157.05489_21.17273,251.0279999
277,-157.05513_21.17299,250.0590057
278,-157.03023_21.09296,10.0
279,-157.03305_21.09458,7.99997
280,-157.03387_21.09496,7.9991102
281,-157.07721_21.18321,156.9900055
282,-157.07877_21.18354,152.0
283,-157.07478_21.17968,164.1710052
284,-157.06762_21.17599,220.9029999
285,-157.07008_21.17262,189.4559937
286,-157.07129_21.17273,188.526001
287,-157.07016_21.17654,196.6799927
288,-157.07045_21.17660,192.753006
289,-157.07074_21.17666,189.8950043
290,-157.07104_21.17672,188.0050049
291,-157.07133_21.17679,186.1719971
292,-157.08469_21.16657,173.9559937
293,-157.08606_21.16793,175.404007
294,-157.08786_21.16719,173.0
295,-157.08844_21.17135,170.0119934
296,-157.09097_21.16782,170.0
297,-157.09252_21.16821,167.4060059
298,-157.09504_21.16464,161.0
299,-157.07518_21.16508,183.9559937
300,-157.03453_21.09521,8.0076704
301,-157.02861_21.09604,8.3713703
302,-157.03177_21.09674,6.0
303,-157.03387_21.09658,6.0
304,-157.04190_21.09985,6.9946198
305,-157.04395_21.10145,8.0
306,-157.04702_21.10328,7.0
307,-157.04836_21.10315,7.0
308,-157.04870_21.10500,7.0
309,-157.04969_21.10587,6.9999399
310,-157.04145_21.10320,7.0
311,-157.04297_21.10333,7.0
312,-157.04397_21.10364,7.0
313,-157.04511_21.10404,7.0
314,-157.04587_21.10469,7.0
315,-157.04715_21.10509,7.0
316,-156.99801_21.08314,30.8857994
317,-156.99752_21.08390,40.2524986
318,-156.99739_21.08409,41.6114998
319,-156.99713_21.08446,45.8415985
320,-156.99701_21.08465,48.8824005
321,-156.99687_21.08485,51.9328003
322,-156.99658_21.08527,57.1837997
323,-156.99621_21.08582,62.9995995
324,-156.99862_21.08139,14.8227997
325,-156.99822_21.08195,19.1488991
326,-156.99810_21.08214,20.0965996
327,-156.99797_21.08233,20.2124996
328,-156.99784_21.08252,22.3306999
329,-156.99772_21.08271,25.4493008
330,-156.99747_21.08308,30.4251003
331,-156.99735_21.08327,32.4508018
332,-156.99704_21.08340,33.5579987
333,-156.99692_21.08357,35.6267014
334,-156.99669_21.08381,38.6833
335,-156.99684_21.08402,39.6959991
336,-156.99671_21.08420,42.8442993
337,-156.99658_21.08439,44.8251991
338,-156.98834_21.07849,20.0527
339,-156.98783_21.07813,20.0020008
340,-156.98773_21.07839,20.0319004
341,-156.98755_21.07805,20.0000992
342,-156.98738_21.07798,20.0000992
343,-156.98685_21.07802,19.9999008
344,-156.98655_21.07763,20.0
345,-156.98645_21.07850,20.1191998
346,-156.98667_21.07856,20.1706009
347,-156.98688_21.07864,20.2716007
348,-156.98735_21.07867,20.2527008
349,-157.00588_21.16273,450.8529968
350,-157.00612_21.16270,448.8299866
351,-157.00625_21.16290,444.9920044
352,-157.06633_21.18101,200.4420013
353,-157.06786_21.18123,197.977005
354,-157.06942_21.18156,192.6119995
355,-157.07098_21.18190,179.2089996
356,-157.07255_21.18223,169.6940002
357,-157.07566_21.18292,159.4880066
358,-156.85161_21.05797,5.0
359,-156.87697_21.04899,12.8157997
360,-156.87755_21.04803,8.0
361,-156.87726_21.04898,10.6302996
362,-156.76117_21.09520,13.3158998
363,-156.76187_21.09609,9.8688297
364,-156.76199_21.09639,12.4881001
365,-156.98789_21.07911,23.7756004
366,-156.98706_21.07882,20.9930992
367,-157.00248_21.08288,26.1338005
368,-157.00237_21.08303,27.7842007
369,-157.00226_21.08318,29.8141003
370,-157.00215_21.08333,30.9176006
371,-157.00204_21.08347,31.9782009
372,-157.00193_21.08362,33.0032005
373,-157.00161_21.08407,34.1021004
374,-157.00138_21.08437,36.9188004
375,-157.00115_21.08468,38.2476997
376,-157.00103_21.08485,39.8289986
377,-157.00090_21.08503,42.2383003
378,-157.00076_21.08522,43.9710999
379,-157.00061_21.08541,46.700901
380,-157.00046_21.08562,48.6248016
381,-157.00030_21.08585,51.8395004
382,-157.00013_21.08608,53.7961998
383,-156.95339_21.06640,20.0
384,-156.95436_21.06659,20.0
385,-156.95454_21.06661,20.0
386,-156.95471_21.06662,20.0
387,-156.79584_21.07375,13.0
388,-157.09732_21.16916,162.0099945
389,-157.09888_21.16950,157.052002
390,-157.08724_21.16317,168.0
391,-157.08664_21.17198,171.8139954
392,-157.08726_21.17619,171.7230072
393,-156.76241_21.09543,14.4202003
394,-156.77030_21.09000,9.0
395,-156.77278_21.08783,15.0002003
396,-156.77363_21.08723,14.1830997
397,-156.77535_21.08943,10.0
398,-156.77466_21.08658,12.0057001
399,-156.79158_21.07644,8.9978905
400,-156.79130_21.07665,9.5742598
401,-156.78955_21.07762,9.1970901
402,-156.78581_21.08057,10.6610003
403,-156.79344_21.07649,32.4002991
404,-157.00011_21.16149,482.2609863
405,-157.00730_21.16189,443.2009888
406,-157.00744_21.16210,440.9349976
407,-157.00755_21.16234,439.6260071
408,-157.00739_21.16247,440.1119995
409,-157.00715_21.16255,440.5539856
410,-157.08975_21.17270,165.9790039
411,-157.09102_21.17271,164.0919952
412,-157.09193_21.17720,163.0
413,-157.09363_21.17756,161.0
414,-157.09675_21.17823,144.6560059
415,-157.09919_21.17482,145.0050049
416,-157.09778_21.18070,131.5059967
417,-157.10038_21.17677,134.9790039
