,Uid,dist2_MunWells_m
79,-156.95489_21.06662,722.2849310107758
80,-156.95508_21.06664,740.3385568339489
81,-156.95531_21.06666,762.6149607071411
82,-156.95592_21.06668,822.7441741992386
83,-156.95629_21.06669,860.4933992731025
84,-156.95462_21.06733,674.1668742268652
85,-156.95265_21.06691,493.0560180894799
86,-156.95364_21.06646,607.5019676164997
87,-157.28756_21.14135,27573.791625909995
88,-157.07443_21.15027,5433.937729065587
89,-157.06373_21.16454,4697.9532295729605
90,-157.07261_21.16906,5743.459859095125
91,-157.07323_21.17329,6007.42952623847
92,-157.07480_21.17363,6168.845127666542
93,-157.07637_21.17397,6331.119162804775
94,-157.07803_21.17374,6473.45298831245
95,-157.07948_21.17452,6646.834766119475
96,-157.08099_21.17490,6806.561890469545
97,-157.08246_21.17534,6965.068754653029
98,-157.06868_21.17164,5504.789994785016
99,-157.06922_21.16945,5442.733493219509
100,-157.07747_21.17752,6619.23779613245
101,-157.07009_21.16708,5415.210489233886
102,-157.07035_21.16475,5343.964267886282
103,-157.07058_21.16381,5330.562239234881
104,-157.07134_21.16069,5301.75222360792
105,-157.07103_21.15953,5237.190494116704
106,-157.07140_21.15960,5276.767570140088
107,-157.07178_21.15969,5317.233045490955
108,-157.07216_21.15976,5357.611677258158
109,-157.07218_21.16387,5490.02885381638
110,-157.07375_21.16420,5655.898174267548
111,-157.07646_21.16490,5947.153383800576
112,-157.07593_21.16877,6046.922522390759
113,-157.07941_21.16132,6129.776469576288
114,-157.08003_21.16555,6322.389562030954
115,-157.08252_21.16217,6466.064629888982
116,-157.08066_21.16978,6544.156640804293
117,-157.08318_21.16622,6656.484031506214
118,-156.86999_21.05081,4406.878784997015
119,-156.87096_21.05074,4504.41028659926
120,-157.00100_21.08410,5738.175006688254
121,-157.00110_21.08394,5743.275237880631
122,-157.00130_21.08364,5753.325558158404
123,-157.00150_21.08333,5763.390924564373
124,-157.00160_21.08317,5768.514752690975
125,-157.00170_21.08302,5773.880749522739
126,-157.00180_21.08287,5779.327935869544
127,-157.00210_21.08241,5795.80484666297
128,-157.00220_21.08225,5801.337257198984
129,-157.00227_21.08189,5797.347920780199
130,-157.00318_21.08174,5885.111165422584
131,-157.00341_21.08185,5911.026904318353
132,-157.00309_21.08224,5889.757334662477
133,-157.09556_21.14667,7622.985158560942
134,-157.12755_21.14364,10953.427876877335
135,-157.11619_21.15212,9775.493750243264
136,-157.09711_21.16406,7988.408493120288
137,-157.10089_21.16492,8392.279215639732
138,-157.07593_21.15079,5592.881275070881
139,-157.07827_21.15148,5839.958841174604
140,-157.06701_21.15771,4784.405501066
141,-157.06861_21.15797,4952.437227412245
142,-157.07200_21.15066,5184.432826614964
143,-157.07194_21.15851,5302.58500199843
144,-157.07360_21.15888,5479.732241219479
145,-157.07527_21.15923,5658.101824262662
146,-157.07867_21.15249,5890.128987516073
