,Uid,dist2_DomWells_m
70,-156.99819_21.08371,5856.743620580503
71,-157.08150_21.15589,17274.49270789442
72,-157.08349_21.15446,17356.94049379524
73,-157.11548_21.17975,21680.49608583422
74,-157.11353_21.18030,21549.85009512399
75,-157.08203_21.18424,19270.087529482
76,-157.08359_21.18458,19415.025129784197
77,-157.08543_21.18104,19300.12194300011
78,-157.06544_21.15892,16137.559953637992
79,-156.95489_21.06662,1072.2506898551324
80,-156.95508_21.06664,1091.714781901421
81,-156.95531_21.06666,1115.4041228508029
82,-156.95592_21.06668,1178.4888101913975
83,-156.95629_21.06669,1217.6094640219267
84,-156.95462_21.06733,1040.9576387857292
85,-156.95265_21.06691,837.9848543170336
86,-156.95364_21.06646,944.6753946980413
87,-157.28756_21.14135,36562.96007228427
88,-157.07443_21.15027,16317.180945919332
89,-157.06373_21.16454,16401.266192475203
90,-157.07261_21.16906,17427.041264490173
91,-157.07323_21.17329,17781.29046009294
92,-157.07480_21.17363,17928.582365227576
93,-157.07637_21.17397,18076.475992824144
94,-157.07803_21.17374,18191.127141567464
95,-157.07948_21.17452,18361.811431519323
96,-157.08099_21.17490,18509.375833986083
97,-157.08246_21.17534,18657.701479306288
98,-157.06868_21.17164,17306.311631231856
99,-157.06922_21.16945,17187.58915851137
100,-157.07747_21.17752,18421.019259338107
101,-157.07009_21.16708,17085.30609364771
102,-157.07035_21.16475,16940.61034583159
103,-157.07058_21.16381,16892.632858341
104,-157.07134_21.16069,16738.724938580737
105,-157.07103_21.15953,16634.080819034818
106,-157.07140_21.15960,16669.81840137643
107,-157.07178_21.15969,16706.523503538214
108,-157.07216_21.15976,16743.08890349024
109,-157.07218_21.16387,17026.496397055525
110,-157.07375_21.16420,17176.33575425707
111,-157.07646_21.16490,17444.703731118254
112,-157.07593_21.16877,17670.86871024006
113,-157.07941_21.16132,17447.25751786359
114,-157.08003_21.16555,17781.846190059507
115,-157.08252_21.16217,17763.305707555206
116,-157.08066_21.16978,18122.944170643488
117,-157.08318_21.16622,18086.77267161294
118,-156.86999_21.05081,572.9312463551968
119,-156.87096_21.05074,474.3262039311954
120,-157.00100_21.08410,6147.701728029964
121,-157.00110_21.08394,6152.715901625018
122,-157.00130_21.08364,6162.589125912119
123,-157.00150_21.08333,6172.460482879091
124,-157.00160_21.08317,6177.4808526884535
125,-157.00170_21.08302,6182.7400357671
126,-157.00180_21.08287,6188.075816784204
127,-157.00210_21.08241,6204.195456386775
128,-157.00220_21.08225,6209.600539410148
129,-157.00227_21.08189,6205.325965125992
130,-157.00318_21.08174,6292.794268873876
131,-157.00341_21.08185,6318.756565420988
132,-157.00309_21.08224,6297.844386151717
133,-157.09556_21.14667,17976.24751608438
134,-157.12755_21.14364,20800.288819539302
135,-157.11619_21.15212,20146.848448424924
136,-157.09711_21.16406,19123.72063948456
137,-157.10089_21.16492,19502.933661809097
138,-157.07593_21.15079,16478.71077489486
139,-157.07827_21.15148,16722.6152048638
140,-157.06701_21.15771,16181.764350811316
141,-157.06861_21.15797,16330.152530469595
142,-157.07200_21.15066,16133.702616961598
143,-157.07194_21.15851,16640.437697745612
144,-157.07360_21.15888,16802.577730018802
145,-157.07527_21.15923,16964.781377305153
146,-157.07867_21.15249,16819.31259289032
147,-157.08341_21.15778,17556.654234214362
148,-157.08080_21.15855,17384.38767290418
149,-157.08163_21.16030,17567.07267781961
150,-157.08261_21.16087,17686.585828083786
151,-157.09087_21.16281,18510.230507288612
152,-157.09301_21.16322,18719.893112758928
153,-157.09674_21.15794,18720.226822714223
154,-157.08416_21.16128,17843.58217161674
155,-157.08933_21.16006,18206.60107981092
156,-157.09575_21.15778,18623.939951426597
157,-157.08719_21.15855,17928.60370581709
158,-157.08086_21.15942,17445.139978486182
159,-157.08181_21.15376,17168.371042389586
160,-157.08184_21.15496,17245.56073959991
161,-156.95257_21.06707,829.0479038589923
162,-156.95249_21.06722,820.5379094590932
163,-156.95242_21.06738,812.8196581262099
164,-156.95232_21.06753,803.0513058933334
165,-156.95223_21.06776,794.1184657288275
166,-156.95193_21.06780,763.082425638132
167,-156.95166_21.06782,735.6925993715154
168,-156.95161_21.06765,729.5106898833252
169,-156.95186_21.06738,754.5906511834216
170,-156.95204_21.06722,773.8423413150316
171,-156.95180_21.06721,748.5508404398447
172,-156.95155_21.06727,722.696369078122
173,-156.95156_21.06707,723.6023770317895
174,-156.95165_21.06681,734.6931623637033
175,-156.95186_21.06677,756.7171014592736
176,-156.95207_21.06684,778.0823077959852
177,-156.95225_21.06609,807.654938629517
178,-156.95207_21.06601,790.6708683086644
179,-156.95362_21.06737,936.9929876772787
180,-156.94586_21.07134,459.494172049478
181,-156.93975_21.07173,651.4108658091759
182,-156.76197_21.09679,2959.2995776774383
183,-156.76287_21.09747,2981.8862213531856
184,-156.76363_21.09848,2974.603236868476
185,-157.00741_21.16127,12277.43657034669
186,-157.00769_21.16119,12285.265865273474
187,-157.05891_21.17517,16838.776546458506
188,-157.06179_21.17893,17345.42404967271
189,-157.06326_21.18022,17554.1041667264
190,-157.06483_21.18059,17697.591617081263
191,-157.05941_21.17631,16964.642854442016
192,-157.05985_21.17731,17076.646058928356
