,Uid,Coral_rank
732,-157.05226_21.16540,3
733,-157.05218_21.16572,3
734,-157.05210_21.16604,3
735,-157.05201_21.16637,3
736,-157.05193_21.16669,3
737,-157.05191_21.16708,2
738,-157.05165_21.16730,2
739,-156.75043_21.13161,3
740,-156.74406_21.14693,3
741,-156.95895_21.06726,2
742,-156.95723_21.06685,2
743,-156.95702_21.06678,2
744,-156.98756_21.07875,3
745,-156.98771_21.07889,3
746,-156.98794_21.07889,3
747,-156.98846_21.07757,3
748,-156.98828_21.07804,3
749,-156.99793_21.08438,2
750,-156.99855_21.08422,2
751,-156.99853_21.08458,2
752,-156.99834_21.08485,2
753,-156.99826_21.08511,2
754,-156.99801_21.08552,2
755,-156.99785_21.08578,2
756,-156.99775_21.08614,2
757,-156.99907_21.08500,2
758,-156.99951_21.08459,2
759,-157.00003_21.08480,2
760,-156.99969_21.08538,2
761,-156.99951_21.08567,2
762,-156.99934_21.08596,2
763,-156.99851_21.08685,2
764,-156.99782_21.08665,2
765,-156.99748_21.08656,2
766,-156.99721_21.08635,2
767,-156.99709_21.08656,2
768,-156.99679_21.08649,2
769,-156.99758_21.08496,2
770,-156.99818_21.08530,2
771,-156.99871_21.08399,2
772,-156.99780_21.08596,2
773,-156.99825_21.08559,2
774,-156.99853_21.08568,2
775,-156.99776_21.08467,2
776,-157.00132_21.08101,2
777,-157.00118_21.08098,2
778,-157.00106_21.08086,2
779,-157.00021_21.08062,2
780,-157.00220_21.08164,2
781,-157.00170_21.08168,2
782,-157.00141_21.08157,2
783,-157.00127_21.08158,2
784,-157.00098_21.08151,2
785,-157.00083_21.08148,2
786,-157.00069_21.08144,2
787,-157.00044_21.08139,2
788,-157.00003_21.08123,2
789,-156.96307_21.06845,2
790,-156.96425_21.06893,2
791,-156.96581_21.06936,2
792,-156.96632_21.06943,2
793,-156.96717_21.06980,2
794,-156.96738_21.06987,2
795,-156.96759_21.06996,2
796,-156.96784_21.07005,2
797,-156.96974_21.07047,3
798,-156.96997_21.07051,3
799,-156.97043_21.07056,3
800,-156.97063_21.07059,3
801,-156.97106_21.07062,3
802,-156.99962_21.08011,2
803,-156.99918_21.08005,2
804,-156.99904_21.08021,2
805,-156.99843_21.07981,2
806,-156.99795_21.08050,2
807,-156.99626_21.07979,3
808,-156.99587_21.07932,3
809,-156.99552_21.07919,3
810,-156.99528_21.07909,3
811,-156.99522_21.07951,3
812,-156.99500_21.07997,3
813,-156.99579_21.07974,3
814,-156.99846_21.08058,2
815,-156.98174_21.07726,3
816,-156.95647_21.08495,2
817,-156.99340_21.07803,3
818,-156.99247_21.07777,3
819,-156.99183_21.07759,3
820,-156.99148_21.07758,3
821,-156.99107_21.07754,3
822,-156.99062_21.07743,3
823,-156.99016_21.07729,3
824,-156.98979_21.07717,3
825,-156.98628_21.07653,3
826,-156.98576_21.07630,3
827,-156.98524_21.07607,3
828,-156.98472_21.07584,3
829,-156.98119_21.07335,3
830,-156.98059_21.07324,3
831,-156.99920_21.08236,2
832,-156.99926_21.08201,2
833,-156.99949_21.08143,2
834,-157.00035_21.08178,2
835,-156.99976_21.08268,2
836,-156.99958_21.08296,2
837,-156.99900_21.08353,2
838,-156.99930_21.08371,2
839,-156.99956_21.08387,2
840,-156.99974_21.08414,2
841,-156.99999_21.08350,2
842,-157.00000_21.08321,2
843,-157.00029_21.08299,2
844,-157.00047_21.08270,2
845,-157.00096_21.08225,2
846,-157.00090_21.08184,2
847,-157.00128_21.08248,2
848,-157.00125_21.08277,2
849,-157.00108_21.08306,2
850,-157.00064_21.08378,2
851,-156.78131_21.08396,3
852,-156.78033_21.08577,3
853,-156.77076_21.08973,2
854,-156.77526_21.08830,3
855,-156.77555_21.08872,3
856,-156.77115_21.08855,2
857,-156.77363_21.08627,3
858,-156.77925_21.08441,3
859,-156.82654_21.06278,3
860,-156.82679_21.06266,3
861,-156.82732_21.06204,3
862,-156.82823_21.06556,3
