,Uid,nrcs_DtoBrock,nrcs_FloodFreq,nrcs_septic_dominant,nrcs_septic_least,nrcs_septic_most,nrcs_ksat_hi,nrcs_ksat_lo,nrcs_ksat_rep,nrcs_rockFrag3in
91,-157.07323_21.17329,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.233333333333333,98.0
92,-157.07480_21.17363,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
93,-157.07637_21.17397,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
94,-157.07803_21.17374,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
95,-157.07948_21.17452,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
96,-157.08099_21.17490,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
97,-157.08246_21.17534,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
98,-157.06868_21.17164,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.233333333333333,98.0
99,-157.06922_21.16945,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
100,-157.07747_21.17752,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
101,-157.07009_21.16708,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
102,-157.07035_21.16475,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
103,-157.07058_21.16381,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
104,-157.07134_21.16069,0.0,None,Very limited,Not rated,Very limited,4.5575,1.41,2.875,50.0
105,-157.07103_21.15953,0.0,None,Very limited,Not rated,Very limited,4.5575,1.41,2.875,50.0
106,-157.07140_21.15960,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
107,-157.07178_21.15969,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
108,-157.07216_21.15976,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
109,-157.07218_21.16387,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
110,-157.07375_21.16420,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
111,-157.07646_21.16490,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
112,-157.07593_21.16877,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
113,-157.07941_21.16132,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
114,-157.08003_21.16555,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
115,-157.08252_21.16217,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
116,-157.08066_21.16978,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
117,-157.08318_21.16622,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
118,-156.86999_21.05081,,Rare,Very limited,Somewhat limited,Very limited,45.993,6.9835,26.0875,91.2875
119,-156.87096_21.05074,,Rare,Very limited,Somewhat limited,Very limited,45.993,6.9835,26.0875,91.2875
120,-157.00100_21.08410,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
121,-157.00110_21.08394,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
122,-157.00130_21.08364,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
123,-157.00150_21.08333,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
124,-157.00160_21.08317,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
125,-157.00170_21.08302,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
126,-157.00180_21.08287,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
127,-157.00210_21.08241,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
128,-157.00220_21.08225,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
129,-157.00227_21.08189,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
130,-157.00318_21.08174,,Frequent,Very limited,Very limited,Very limited,42.0,7.5233333333333325,24.66666666666667,98.88888888888891
131,-157.00341_21.08185,,Frequent,Very limited,Very limited,Very limited,42.0,7.5233333333333325,24.66666666666667,98.88888888888891
132,-157.00309_21.08224,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
133,-157.09556_21.14667,,None,Very limited,Very limited,Very limited,20.963750000000005,2.8200000000000003,11.7625,100.0
134,-157.12755_21.14364,,None,Somewhat limited,Somewhat limited,Very limited,14.275437500000002,3.4545000000000003,8.684375000000001,96.91666666666669
135,-157.11619_21.15212,,None,Very limited,Very limited,Very limited,20.963750000000005,2.8200000000000003,11.7625,100.0
136,-157.09711_21.16406,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
137,-157.10089_21.16492,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
138,-157.07593_21.15079,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
139,-157.07827_21.15148,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
140,-157.06701_21.15771,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
141,-157.06861_21.15797,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
142,-157.07200_21.15066,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.333333333333333,98.0
143,-157.07194_21.15851,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
144,-157.07360_21.15888,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
145,-157.07527_21.15923,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
146,-157.07867_21.15249,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
147,-157.08341_21.15778,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
148,-157.08080_21.15855,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.333333333333333,98.0
149,-157.08163_21.16030,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
150,-157.08261_21.16087,0.0,None,Very limited,Not rated,Very limited,4.5575,1.41,2.875,50.0
151,-157.09087_21.16281,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
152,-157.09301_21.16322,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
153,-157.09674_21.15794,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
154,-157.08416_21.16128,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
155,-157.08933_21.16006,,None,Very limited,Very limited,Very limited,8.138,2.5380000000000003,5.1,100.0
156,-157.09575_21.15778,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
157,-157.08719_21.15855,,None,Very limited,Very limited,Very limited,7.486666666666667,2.35,4.666666666666667,100.0
158,-157.08086_21.15942,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.333333333333333,98.0
159,-157.08181_21.15376,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
160,-157.08184_21.15496,0.0,None,Very limited,Not rated,Very limited,4.5575,1.41,2.875,50.0
161,-156.95257_21.06707,,Rare,Very limited,Very limited,Very limited,141.0,42.34,92.0,86.66666666666669
162,-156.95249_21.06722,,Rare,Very limited,Very limited,Very limited,141.0,42.34,92.0,86.66666666666669
163,-156.95242_21.06738,,Rare,Very limited,Very limited,Very limited,141.0,42.34,92.0,86.66666666666669
164,-156.95232_21.06753,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
165,-156.95223_21.06776,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
166,-156.95193_21.06780,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
167,-156.95166_21.06782,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
168,-156.95161_21.06765,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
169,-156.95186_21.06738,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
170,-156.95204_21.06722,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
171,-156.95180_21.06721,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
172,-156.95155_21.06727,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
173,-156.95156_21.06707,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
174,-156.95165_21.06681,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
175,-156.95186_21.06677,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
176,-156.95207_21.06684,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
177,-156.95225_21.06609,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
178,-156.95207_21.06601,,Rare,Very limited,Very limited,Very limited,141.0,42.34,92.0,86.66666666666669
179,-156.95362_21.06737,,Rare,Very limited,Very limited,Very limited,141.0,42.34,92.0,86.66666666666669
180,-156.94586_21.07134,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
181,-156.93975_21.07173,76.0,None,Very limited,Very limited,Very limited,9.473333333333334,2.8266666666666667,6.073333333333332,53.33333333333334
182,-156.76197_21.09679,,Occasional,Very limited,Very limited,Very limited,91.74,9.170000000000002,46.5,87.5
183,-156.76287_21.09747,64.0,None,Very limited,Very limited,Very limited,28.14,9.34,18.74,61.66666666666666
184,-156.76363_21.09848,64.0,None,Very limited,Very limited,Very limited,28.14,9.34,18.74,61.66666666666666
185,-157.00741_21.16127,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
186,-157.00769_21.16119,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
187,-157.05891_21.17517,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
188,-157.06179_21.17893,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
189,-157.06326_21.18022,,None,Very limited,Very limited,Very limited,23.44666666666667,2.35,12.333333333333336,100.0
190,-157.06483_21.18059,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.233333333333333,98.0
191,-157.05941_21.17631,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
192,-157.05985_21.17731,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
193,-157.06076_21.17765,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
194,-157.06090_21.17688,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
195,-157.06107_21.17648,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
196,-157.06031_21.17636,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
197,-157.05991_21.17547,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
198,-157.00697_21.16215,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
199,-157.00687_21.16186,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
200,-157.00669_21.16195,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
201,-157.00653_21.16204,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
202,-157.00676_21.16228,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
203,-157.00675_21.16256,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
204,-157.00607_21.16231,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
205,-157.00554_21.16218,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
206,-157.00556_21.16198,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
207,-157.00579_21.16191,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
208,-157.00597_21.16181,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
209,-156.97902_21.07264,,Frequent,Very limited,Very limited,Very limited,42.0,7.5233333333333325,24.66666666666667,98.88888888888891
210,-156.97856_21.07244,,Frequent,Very limited,Very limited,Very limited,42.0,7.5233333333333325,24.66666666666667,98.88888888888891
211,-156.97779_21.07208,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
212,-156.97743_21.07189,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
213,-156.98923_21.07688,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
214,-156.98888_21.07686,,Occasional,Very limited,Very limited,Very limited,45.068000000000005,10.16,27.2,91.4
215,-157.06210_21.16463,,None,Very limited,Very limited,Very limited,4.448333333333333,0.75,2.333333333333333,98.0
216,-157.06519_21.16514,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
217,-157.06656_21.16647,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
218,-157.06882_21.16369,,None,Very limited,Very limited,Very limited,8.138000000000002,2.5380000000000003,5.1,100.0
219,-157.04613_21.16245,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
220,-157.06121_21.17479,,None,Very limited,Very limited,Very limited,23.44666666666667,2.35,12.333333333333336,100.0
221,-157.06346_21.17201,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
222,-157.06472_21.17397,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
223,-157.06586_21.17588,,None,Somewhat limited,Somewhat limited,Somewhat limited,23.44666666666667,2.35,12.333333333333336,100.0
224,-157.04328_21.16448,,None,Very limited,Very limited,Very limited,7.523333333333336,1.0799999999999998,3.9333333333333336,96.83333333333331
225,-157.00406_21.16160,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
226,-157.00311_21.16169,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
227,-157.00333_21.16198,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
228,-157.00368_21.16239,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
229,-157.00388_21.16229,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
230,-157.00425_21.16210,127.0,None,Somewhat limited,Somewhat limited,Somewhat limited,28.055,3.4225000000000003,15.25,73.75
